title,text,write_by,domain,language,method,LLM_model,label
Elbasan,"Elbasan is a city in central Albania, known for its rich history and cultural heritage. It is home to the 15th-century Elbasan Castle, which offers stunning views of the surrounding area. The city is also famous for its traditional handicrafts, including intricate textiles and colorful ceramics. Elbasan is a popular destination for tourists looking to explore Albania's rich past and vibrant culture. With its picturesque streets and friendly locals, Elbasan is a must-visit destination for anyone traveling through Albania.",Ai,Wikipedia,English,Topic,gpt-3.5-turbo-0125,0
Manson Family,"The Manson Family was a cult formed in California in the late 1960s by Charles Manson. Known for their violent crimes, including the infamous Tate-LaBianca murders in 1969, the group believed in Manson's apocalyptic teachings and practiced drug use and communal living. Manson exerted a twisted control over his followers, leading them to commit horrific acts in his name. The Manson Family's crimes shocked the nation and sparked intense media coverage, making Manson a symbol of the dark side of the 1960s counterculture. Manson and several of his followers were convicted and sentenced to",Ai,Wikipedia,English,Topic,gpt-3.5-turbo-0125,0
RYB color model,"The RYB color model is a traditional artistic color system that uses red, yellow, and blue as primary colors. It is based on the idea that these three colors are fundamental in mixing all other colors. The model is commonly used in painting, drawing, and other visual arts. While the RYB color model is widely recognized, it is important to note that it does not accurately represent the way colors are mixed in light. This model is often used in educational settings to introduce color theory and the basics of color mixing.",Ai,Wikipedia,English,Topic,gpt-3.5-turbo-0125,0
Comcast,"Comcast Corporation is an American telecommunications conglomerate. It is one of the biggest cable television and internet service providers in the United States. Founded in 1963, Comcast serves millions of customers across the country, offering a range of services including cable TV, high-speed internet, and phone services. The company also owns NBCUniversal, a leading media and entertainment company. Comcast is headquartered in Philadelphia, Pennsylvania and has a strong presence in the telecommunications industry, constantly expanding and improving its services to meet the needs of its customers.",Ai,Wikipedia,English,Topic,gpt-3.5-turbo-0125,0
Field (mathematics),"In mathematics, a field is a set equipped with two operations, addition and multiplication, that satisfy certain properties. These properties include closure under the operations, commutativity, associativity, existence of additive and multiplicative identity elements, and existence of additive and multiplicative inverses for non-zero elements. Fields are fundamental structures in abstract algebra and are used extensively in various branches of mathematics, including number theory, algebraic geometry, and algebraic number theory. They provide a rich framework for studying relationships between numbers and other mathematical objects.",Ai,Wikipedia,English,Topic,gpt-3.5-turbo-0125,0
History of Laos,"The history of Laos is rich and diverse, dating back to the prehistoric era. The region has been inhabited for thousands of years by various ethnic groups, with influences from Indian and Chinese cultures. Laos was established as a kingdom in the 14th century and later came under French colonial rule in the 19th century. It gained independence in 1954 but was soon engulfed in the Vietnam War. The country experienced political turmoil and communist rule in the 1970s. Today, Laos is a socialist republic with a growing economy and increasing presence on the global stage.",Ai,Wikipedia,English,Topic,gpt-3.5-turbo-0125,0
Semi-detached,"A semi-detached house is a type of residential building that shares one common wall with another separate dwelling. These properties are popular in suburban neighborhoods, offering a balance between privacy and affordability. Semi-detached houses typically have separate entrances, gardens, and utilities, providing a sense of independence while still being part of a larger community. This housing arrangement is common in many countries around the world, providing residents with a comfortable and spacious living space without the high costs associated with detached homes.",Ai,Wikipedia,English,Topic,gpt-3.5-turbo-0125,0
Victorian Legislative Council,"The Victorian Legislative Council is the upper house of the Parliament of Victoria, Australia. Established in 1851, the Council acts as a house of review and scrutiny for legislation proposed by the lower house, the Legislative Assembly. Comprising of 40 members who are elected for four-year terms, the Council plays a crucial role in the legislative process of Victoria. Its functions include debating and amending bills, holding inquiries, and representing the interests of different regions in the state. The Council is an important part of Victoria's democratic system of government.",Ai,Wikipedia,English,Topic,gpt-3.5-turbo-0125,0
Fresco,"Fresco is a traditional technique of mural painting that involves applying water-based pigments onto damp lime plaster. This method has been used for centuries to create stunning artworks on walls and ceilings. Frescoes can be found in ancient Roman villas, Renaissance churches, and modern buildings around the world. The process of painting on fresh plaster allows the colors to become part of the surface, ensuring that the artwork remains vibrant and durable for years to come. Famous fresco artists include Michelangelo, Giotto, and Diego Rivera.",Ai,Wikipedia,English,Topic,gpt-3.5-turbo-0125,0
Hematopoietic stem cell transplantation,"Hematopoietic stem cell transplantation, also known as bone marrow transplant, is a procedure that replaces damaged or diseased bone marrow with healthy stem cells. These stem cells can develop into red or white blood cells, platelets, or other cells that are needed for proper immune function. The transplantation is commonly used to treat various conditions, such as leukemia, lymphoma, and certain genetic disorders. The procedure can be autologous (using patient's own stem cells) or allogeneic (using stem cells from a donor). Hematopoietic stem cell transplantation is a potentially life",Ai,Wikipedia,English,Topic,gpt-3.5-turbo-0125,0
