title,text,write_by,language,domain,method,LLM_model,label
Radiación solar,"La radiación solar, también conocida como radiación electromagnética solar, es la energía emitida continua y naturalmente por el Sol en forma de ondas electromagnéticas. Estas ondas se distribuyen en diferentes longitudes de onda, desde las radiaciones ultravioletas (UV), visible (VIS), infrarrojas (IR) hasta las radiaciones de largas ondas como las ondas de radio. La radiación solar es fundamental para el sistema solar y la vida en la Tierra. Proporciona el calor y la energía necesaria para el mantenimiento del clima y las actividades meteorológicas",Ai,Spanish,Wikipedia,Topic,open-mistral-7b,0
Felipe Kast,"Felipe Kast Esquivel nacido el 28 de marzo de 1972, en Santiago de Chile. Es un ingeniero civil, empresario y político chileno. Se graduó de la Universidad de Chile con un título de ingeniería civil. Posteriormente obtuvo un MBA de la Universidad Adolfo Ibáñez. Kast comenzó su carrera profesional en la empresa de ingeniería y construcción Cencosud, donde alcanzó altos niveles de responsabilidad. En 2015, Kast fundó el partido político Independencia Radical de Chile (IRCh), con",Ai,Spanish,Wikipedia,Topic,open-mistral-7b,0
Ptolomeo de Epiro,"Ptolomeo de Epiro, en griego Antígono Doson o Antígono Gonatas, nació en 232 a. C. en Neoptolemis, Epiro. Fue rey de Epiro desde 221 a. C. hasta su muerte en 212 a. C. Ptolomeo heredó el trono a la temprana edad de nueve años, bajo la regencia de su madre, la reina Laodice. A los diecisiete años, logró derrocar a la regencia y gobernar por su cuenta. Durante su reinado",Ai,Spanish,Wikipedia,Topic,open-mistral-7b,0
Jurij Bartolomej Vega,"Jurij Bartolomej Vega, nacido el 25 de julio de 1934 en Ljubljana, Eslovenia, fue un científico y ingeniero esloveno-chileno de destacada actuación en el campo de la astronomía. Se graduó de ingeniero mecánico en la Universidad de Ljubljana en 1959, y luego obtuvo su doctorado en astronomía en la Universidad de Chile en 1966. Se desempeñó como profesor en la Universidad de Chile desde 1963 hasta 1998, donde llevó a cabo investigaciones sobre",Ai,Spanish,Wikipedia,Topic,open-mistral-7b,0
Eukaryota,"Eukaryotas son organizaciones vivas complejas, formadas por una membrana celular externa definida y una estructura interior diferenciada. Su nombre deriva del griego antiguo ""eu"" (verdadero) y ""karyon"" (núcleo), reflejando la presencia de un núcleo nucleado en sus células. Eukaryotas incluyen a las plantas, animales, hongos y protistas eucariontes, representando el 95% de la biomasa viviente en la Tierra. Su tamaño varía desde microscópicos hasta organismos multic",Ai,Spanish,Wikipedia,Topic,open-mistral-7b,0
Subasta inversa,"La subasta inversa, también conocida como subasta de desmonte o subasta de reversa, es un tipo de subasta en el mercado de capitales que difiere de la tradicional subasta de remate por ofertas. En una subasta inversa, los interesados se ofrecen a pagar un precio mínimo por un activo o un contrato, en lugar de ofrecer precios decrecientes, como en una subasta tradicional. El comprador interesado que ofrece el precio más alto se consolida entonces como el ganador de la subasta. Este tipo de subasta se utiliza",Ai,Spanish,Wikipedia,Topic,open-mistral-7b,0
Rock de México,"Rock mexicano, o rockeño, es un género musical que surge en México a principios de la década de 1950, influido por el rock and roll estadounidense. Sin embargo, a medida que el género evolucionaba, adquirió características propias, integrando influencias de la música mexicana tradicional y del folk. Artistas pioneros como Raul El Halcon, Los Tigres del Norte y Canseco-Barragán llevaron el rock mexicano a las masas, combinando letras sociales, políticas y reflexiones sobre la vida cot",Ai,Spanish,Wikipedia,Topic,open-mistral-7b,0
Yuri Zhirkov,"Yuri Zhirkov (Московская область, Rusia, 27 de enero de 1986) es un exfutbolista ruso que se desempeñaba en la posición de mediapunta. Inició su carrera en el Spartak Moscú, donde debutó en 2003. Posteriormente, defendió la camiseta de CSKA Moscú, Rubin Kazan, Anzhi Makhachkala, Fenerbahçe, Zenyit San Petersburgo y Torino. Con la Selección de Rusia, participó en el Europeo 2004,",Ai,Spanish,Wikipedia,Topic,open-mistral-7b,0
Programa Viking,"El Programa Viking, lanzado por la Administración Nacional de Aviación Espacial (NASA) de los Estados Unidos en 1972, fue una serie de misiones espaciales que exploraron el sistema solar del norte del planeta Tierra. Las sondas Viking consistieron en dos módulos, cada uno formado por un módulo de descenso y un módulo orbital. El módulo de descenso llevaba instrumentos para el análisis de suelo y rocas, además de una cámara de televisión para capturar imágenes en color. Los módulos de descenso",Ai,Spanish,Wikipedia,Topic,open-mistral-7b,0
Imai,"Imai, un artista japonés nacido el 2 de junio de 1942 en Tokio, es conocido por su carrera exitosa en el mundo de la música. Inició su trayectoria musical como bajista en la banda The Fleets en la década de 1960. Luego de su paso por The Fleets, Imai formó la agrupación Ska-Boomers, donde comenzó a desarrollar su estilo único de mezclar ska, rock y pop. En 1969, Imai fundó la banda Globe, con la que logró gran éx",Ai,Spanish,Wikipedia,Topic,open-mistral-7b,0
Mote,"Mote es un alimento tradicional en varias culturas latinoamericanas, particularmente en Centroamérica y el Caribe. Se trata de un tipo de arroz cocido en agua o leche, a veces mezclado con otros ingredientes como frutas, nueces o dulces. El mote más conocido es el mote con huesos, que se prepara hiriendo el arroz con huesos de animal, principalmente de cerdo, hasta que se deshacen y se mezclan con el arroz. El mote se sirve caliente y su sabor varía según los ingredientes agregados.",Ai,Spanish,Wikipedia,Topic,open-mistral-7b,0
