title,text,write_by,domain,language,method,LLM_model,label
Bataille de Balaklava,"La Bataille de Balaklava était un affrontement majeur de la Guerre de Crimée qui s'est déroulé le 25 octobre 1854 près de la ville portuaire de Balaklava, en Crimée. Les forces britanniques, françaises et ottomanes ont affronté l'armée russe dans une série de combats sanglants. L'un des moments les plus célèbres de la bataille a été la charge de la brigade légère, lorsque des cavaliers britanniques se sont lancés dans une attaque héroïque contre les lignes ennemies. Bien",Ai,Wikipedia,French,Topic,gpt-3.5-turbo-0125,0
Calendrier hébraïque,"Le calendrier hébraïque est un calendrier lunaire basé sur les cycles de la Lune, utilisé par les communautés juives pour déterminer les fêtes religieuses et les jours saints. Il comporte douze mois lunaires, alternant entre 29 et 30 jours, pour un total de 354 jours dans une année normale. Pour compenser le décalage par rapport à l'année solaire, un mois supplémentaire, appelé Adar II, est ajouté sept fois sur une période de dix-neuf ans. Le calendrier hébraïque commence à partir de la date traditionnelle de",Ai,Wikipedia,French,Topic,gpt-3.5-turbo-0125,0
Armes de destruction massive en Iran,"Les armes de destruction massive en Iran font référence aux armes nucléaires, chimiques et biologiques possédées ou potentiellement développées par l'Iran. Le pays est accusé par certaines nations occidentales de chercher à acquérir ces armes, malgré ses dénégations. L'accord nucléaire de 2015 entre l'Iran et les grandes puissances internationales visait à limiter le programme nucléaire iranien pour éviter le développement d'armes de destruction massive. Cependant, en 2018, les États-Unis se sont retirés",Ai,Wikipedia,French,Topic,gpt-3.5-turbo-0125,0
Compagnie du Levant,"La Compagnie du Levant était une entreprise commerciale française fondée en 1643 par le financier Antoine Coiffier-Ruzé d'Effiat. Acteur majeur du commerce en Méditerranée orientale, la compagnie était spécialisée dans le commerce d'épices, de soie et d'autres marchandises exotiques. Elle a contribué au développement du commerce maritime français et a établi des relations commerciales solides avec les pays du Levant. Malheureusement, en raison de la concurrence croissante des autres puissances européennes, la Compagnie du Levant a finalement fait faillite",Ai,Wikipedia,French,Topic,gpt-3.5-turbo-0125,0
Islam,"L'islam est une religion monothéiste qui repose sur le Coran, livre saint révélé au Prophète Mahomet. Les cinq piliers de l'islam sont la profession de foi, la prière, l'aumône, le jeûne du Ramadan et le pèlerinage à La Mecque. Les musulmans croient en un Dieu unique, Allah, et en la vie après la mort. L'islam prône la paix, la charité et la fraternité entre les croyants. Malgré les stéréotypes et les préjugés répandus,",Ai,Wikipedia,French,Topic,gpt-3.5-turbo-0125,0
Serveur racine du DNS,"Le serveur racine du DNS est un composant essentiel de l'infrastructure d'Internet. Il s'agit d'un serveur de noms de domaine qui détient les informations sur la structure de l'arborescence du DNS et aide à acheminer les requêtes des utilisateurs vers les serveurs de noms appropriés. Ces serveurs, au nombre de 13, sont répartis dans le monde entier et sont gérés par des organisations telles que l'ICANN. Leur rôle est crucial pour assurer le bon fonctionnement et la stabilité du système de nommage d'Internet.",Ai,Wikipedia,French,Topic,gpt-3.5-turbo-0125,0
Macro-définition,"La macro-définition est une notion utilisée en informatique pour décrire une définition globale d'un concept, d'une fonction ou d'un programme. Cette approche permet de simplifier la compréhension et la communication des idées, en regroupant des éléments plus petits sous une seule entité. En outre, la macro-définition peut également être utilisée pour automatiser des processus en remplaçant des portions de code par une seule directive. Cette pratique est couramment utilisée dans les langages de programmation tels que le C et le C++, où les macros sont largement utilisées pour améliorer l",Ai,Wikipedia,French,Topic,gpt-3.5-turbo-0125,0
Tableau périodique des éléments,"Le tableau périodique des éléments est un arrangement des éléments chimiques, organisés en fonction de leurs propriétés périodiques. Créé par le chimiste russe Dmitri Mendeleïev en 1869, le tableau est composé de cases rectangulaires représentant chaque élément, avec des informations telles que le symbole chimique, le numéro atomique et la masse atomique. Les éléments sont regroupés en périodes horizontales et en groupes verticaux selon leurs similitudes chimiques. Le tableau périodique est un outil essentiel en chimie pour comprendre les relations entre les différents él",Ai,Wikipedia,French,Topic,gpt-3.5-turbo-0125,0
Prestation compensatoire en droit français,"La prestation compensatoire est une mesure conçue pour compenser la disparité financière entre les conjoints lors d'un divorce en droit français. Elle peut être versée en capital ou en rente, et est calculée en prenant en compte divers critères tels que la durée du mariage, l'âge et l'état de santé des conjoints, ainsi que leurs ressources respectives. Cette prestation vise à assurer une transition financière équitable pour le conjoint économiquement défavorisé, afin de lui permettre de maintenir un niveau de vie similaire à celui qu'il avait pendant le mariage.",Ai,Wikipedia,French,Topic,gpt-3.5-turbo-0125,0
Sains-en-Amiénois,"Sains-en-Amiénois est une commune française située dans le département de la Somme, dans la région des Hauts-de-France. Elle est connue pour son patrimoine historique, notamment son église Saint-Martin du XVIe siècle. La commune offre également de beaux espaces naturels propices aux promenades et aux activités de plein air. Sains-en-Amiénois est un lieu calme et charmant, idéal pour les amateurs d'histoire et de nature. Ses habitants sont chaleureux et accueillants, et la commune bénéficie d'une atmosphère paisible",Ai,Wikipedia,French,Topic,gpt-3.5-turbo-0125,0
Capitaine Lahuche,"Capitaine Lahuche est un personnage de bande dessinée créé par l'artiste français Pierre Guilmard en 1963. Il est un capitaine de la gendarmerie française, souvent représenté comme maladroit et naïf, mais avec un grand cœur. Capitaine Lahuche est connu pour ses nombreuses aventures loufoques et ses interactions hilarantes avec les habitants de sa petite ville. Malgré ses maladresses, il parvient toujours à résoudre les affaires criminelles grâce à son intelligence et son instinct. Le personnage est devenu un icône de la bande dessinée",Ai,Wikipedia,French,Topic,gpt-3.5-turbo-0125,0
Unreal Tournament 2003,"Unreal Tournament 2003 est un jeu vidéo de tir à la première personne développé par Epic Games et Digital Extremes. Sorti en 2002, le jeu est la suite du populaire Unreal Tournament. Il offre des graphismes améliorés, de nouvelles cartes et des modes de jeu innovants tels que le mode Capture the Flag et Bombing Run. Le jeu a reçu des éloges pour son gameplay rapide et son action intense, devenant un classique du genre. Unreal Tournament 2003 a marqué le début d'une nouvelle ère pour la franchise, établissant de nouveaux standards pour les jeux de tir multijou",Ai,Wikipedia,French,Topic,gpt-3.5-turbo-0125,0
Les Hommes de la mer,"Les Hommes de la mer, également connus sous le nom de marins, sont des personnes qui travaillent et vivent sur les océans. Ils passent de longues périodes en mer, souvent loin de leur famille et de leurs proches, pour pêcher, transporter des marchandises ou aider à la navigation des navires. Les Hommes de la mer sont reconnus pour leur courage, leur force et leur résilience face aux défis et aux tempêtes de l'océan. Leur mode de vie unique et leur lien profond avec la mer ont inspiré de nombreux récits et légendes à travers les siè",Ai,Wikipedia,French,Topic,gpt-3.5-turbo-0125,0
Suzanne Clément,"Suzanne Clément est une actrice canadienne renommée, née le 12 mai 1969 à Montréal. Elle a étudié à l'École nationale de théâtre du Canada avant de faire ses débuts sur scène et à la télévision. Clément est surtout connue pour ses collaborations avec le réalisateur Xavier Dolan, notamment dans les films ""J'ai tué ma mère"" et ""Laurence Anyways"". Elle a remporté de nombreux prix pour ses performances, y compris le Prix d'interprétation féminine au Festival de Cannes en 2012 pour son rôle dans """,Ai,Wikipedia,French,Topic,gpt-3.5-turbo-0125,0
Dietrich Eckart,"Dietrich Eckart était un écrivain et homme politique allemand, né en 1868 et décédé en 1923. Il était un membre influent du Parti ouvrier allemand, qui deviendrait plus tard le Parti national-socialiste des travailleurs allemands (NSDAP). Eckart a été un mentor du leader nazi Adolf Hitler, influençant ses idées politiques et sa rhétorique. Il était connu pour ses écrits antisémites et nationalistes, exerçant une grande influence sur le mouvement nationaliste allemand de l'époque. Ses œuvres étaient",Ai,Wikipedia,French,Topic,gpt-3.5-turbo-0125,0
Max Euwe,"Max Euwe, de son nom complet Machgielis Euwe, était un joueur d'échecs néerlandais né le 20 mai 1901 à Wateringen et décédé le 26 novembre 1981 à Amsterdam. Il fut champion du monde d'échecs de 1935 à 1937, remportant le titre face à Alexandre Alekhine. Euwe était également un mathématicien et auteur remarquable, publiant de nombreux ouvrages sur les échecs. En dehors de sa carrière de joueur, il a contribué au développement de ce jeu en tant que président de la FIDE (Féd",Ai,Wikipedia,French,Topic,gpt-3.5-turbo-0125,0
Tolkien Estate,"La Tolkien Estate est une organisation fondée en 1977 par la famille de l'auteur britannique J.R.R. Tolkien. Elle est chargée de protéger et de promouvoir l'héritage littéraire de Tolkien, notamment les œuvres majeures comme Le Seigneur des Anneaux et Le Hobbit. La Tolkien Estate gère les droits d'auteur et veille à ce que les adaptations cinématographiques respectent l'intégrité des œuvres originales. Elle organise également des événements et des expositions en lien avec l'univers de Tolkien, afin de faire découvrir et apprécier",Ai,Wikipedia,French,Topic,gpt-3.5-turbo-0125,0
Matelica,"Matelica est une commune italienne de la province de Macerata dans la région des Marches, en Italie centrale. Située à une altitude de 376 mètres, la ville est réputée pour son histoire riche et sa beauté architecturale. Matelica est entourée de collines verdoyantes et de paysages pittoresques, offrant aux visiteurs un cadre paisible et charmant. Connue pour ses caves à vin et ses délicieux plats régionaux, la ville attire les amateurs de gastronomie et les amateurs d'histoire. Matelica est également renommée pour son festival folk",Ai,Wikipedia,French,Topic,gpt-3.5-turbo-0125,0
Dinan,"Dinan est une charmante ville médiévale située en Bretagne, dans le nord-ouest de la France. Connue pour ses rues pavées, ses maisons à colombages et sa magnifique vue sur la rivière Rance, Dinan attire de nombreux visiteurs chaque année. La ville abrite également un château du XIVe siècle, des remparts bien conservés et une église gothique impressionnante. Les visiteurs peuvent se promener dans les ruelles pittoresques, flâner le long des quais de la Rance et découvrir l'histoire fascinante de cette ville ancienne. Din",Ai,Wikipedia,French,Topic,gpt-3.5-turbo-0125,0
Lorik Cana,"Lorik Cana, né le 27 juillet 1983 à Pristina, est un ancien footballeur albanais. Il a débuté sa carrière professionnelle en 1999 au Paris Saint-Germain avant de jouer pour de grands clubs européens tels que l'Olympique de Marseille, la SS Lazio et Sunderland. Cana a également été un pilier de l'équipe nationale albanaise, qu'il a représentée à de nombreuses reprises en tant que capitaine. Connu pour sa force physique et son leadership sur le terrain, il a laissé une marque indélébile dans le football alb",Ai,Wikipedia,French,Topic,gpt-3.5-turbo-0125,0
Maison de Habsbourg (Espagne),"La Maison de Habsbourg (Espagne) était une branche de la dynastie des Habsbourg qui a régné sur l'Espagne de 1516 à 1700. Fondée par Charles Quint, la dynastie est connue pour sa puissance politique et sa contribution à l'art et à la culture en Espagne. Les Habsbourg d'Espagne ont joué un rôle important dans l'histoire européenne, notamment pendant la période de la Contre-Réforme. Leur règne a été marqué par des conflits religieux, des guerres avec d'autres puissances européennes et une expansion",Ai,Wikipedia,French,Topic,gpt-3.5-turbo-0125,0
Nicolás Pereira,"Nicolás Pereira est un joueur de football uruguayen né le 1er février 1995 à Montevideo. Il évolue au poste de milieu de terrain offensif. Pereira a débuté sa carrière professionnelle en 2013 avec le Club Nacional de Football. En 2017, il a été transféré à l'équipe brésilienne de Chapecoense où il a fait ses preuves en tant que joueur talentueux. En 2019, il a rejoint le club portugais du Sporting Lisbonne. Pereira est également un membre régulier de l'équipe nationale de l'",Ai,Wikipedia,French,Topic,gpt-3.5-turbo-0125,0
Al-Khwârizmî,"Al-Khwârizmî, également connu sous le nom latin Algoritmi, était un mathématicien, astronome et géographe perse du IXe siècle. Il est considéré comme le père de l'algèbre et est largement reconnu pour avoir popularisé le système numérique indo-arabe en Europe. Ses travaux ont grandement contribué au développement des mathématiques, de l'astronomie et de la cartographie. Son nom a également été donné au terme ""algorithme"", en référence à ses méthodes de résolution de problèmes mathématiques. Al-Khw",Ai,Wikipedia,French,Topic,gpt-3.5-turbo-0125,0
Percivall Pott,"Percivall Pott était un célèbre chirurgien britannique du XVIIIe siècle. Il est surtout connu pour ses recherches sur le cancer de la vessie et pour avoir décrit une maladie osseuse qui porte son nom, la maladie de Pott. Ses découvertes ont grandement contribué à la compréhension des maladies osseuses et ont eu un impact significatif sur la pratique médicale de l'époque. Pott était également un enseignant réputé et a formé de nombreux chirurgiens qui ont poursuivi son héritage.",Ai,Wikipedia,French,Topic,gpt-3.5-turbo-0125,0
Ateliers du métro de Paris,"Les Ateliers du métro de Paris, également connus sous le nom d'Ateliers de Choisy-le-Roi, sont des installations de maintenance et de réparation situées en banlieue de Paris. Créés en 1900, ces ateliers jouent un rôle essentiel dans l'entretien et la rénovation des rames de métro circulant dans la capitale française. Dotés d'équipements de pointe et d'une équipe qualifiée, les Ateliers du métro de Paris assurent la sécurité et la fiabilité du réseau de métro, contribuant ainsi au bon fonctionnement du système",Ai,Wikipedia,French,Topic,gpt-3.5-turbo-0125,0
Pointe de Grave,"La Pointe de Grave est une avancée de terre située à l'embouchure de l'estuaire de la Gironde, en France. Connue pour son phare emblématique et sa plage de sable fin, la Pointe de Grave est un lieu prisé des amoureux de la nature et des amateurs de sports nautiques. C'est également un site chargé d'histoire, ayant servi de point stratégique lors de conflits militaires. Le panorama offert depuis la Pointe de Grave est spectaculaire, offrant une vue imprenable sur l'océan Atlantique et les côtes",Ai,Wikipedia,French,Topic,gpt-3.5-turbo-0125,0
Affaire des fiches (France),"L'Affaire des fiches était un scandale politique en France à la fin du 19e et au début du 20e siècle. Le ministère de l'Intérieur a utilisé des fiches pour enquêter sur les opinions politiques des fonctionnaires, les cataloguant comme ""conformistes"" ou ""anticonformistes"". Les personnes classées comme anticonformistes étaient souvent licenciées ou rétrogradées. L'affaire a été révélée en 1904, suscitant un tollé et entraînant des réformes dans l'administration publique. Elle a été un exemple flagrant de l'utilisation politique",Ai,Wikipedia,French,Topic,gpt-3.5-turbo-0125,0
Âges sombres (cosmologie),"Les Âges sombres, en cosmologie, se réfèrent à une période hypothétique où l'univers était rempli de matière noire et d'énergie sombre, ne permettant pas la formation d'étoiles. Cette époque aurait précédé la formation des premières galaxies et étoiles, créant un environnement sombre et froid. Les scientifiques étudient les Âges sombres pour mieux comprendre l'évolution de l'univers et les processus qui ont conduit à la formation de la structure cosmique actuelle. Ces périodes mystérieuses restent un sujet de recherche fascinant dans",Ai,Wikipedia,French,Topic,gpt-3.5-turbo-0125,0
Kenny Dalglish,"Kenneth Mathieson Dalglish, né le 4 mars 1951 à Glasgow, est un ancien footballeur et entraîneur écossais. Surnommé ""King Kenny"", il est considéré comme l'un des plus grands joueurs écossais de tous les temps. Dalglish a connu une carrière exceptionnelle avec des clubs comme Celtic, Liverpool et Blackburn Rovers. Il a remporté de nombreux titres en tant que joueur et entraîneur, y compris plusieurs championnats de Premier League et de la Ligue des champions avec Liverpool. Il est également célèbre pour son engagement philanthropique et",Ai,Wikipedia,French,Topic,gpt-3.5-turbo-0125,0
Vinyle timecodé,Le vinyle timecodé est un type de disque vinyle utilisé par les DJs pour contrôler des logiciels de mixage. Il contient un code temporel permettant de synchroniser la lecture du vinyle avec le logiciel sur ordinateur. Ce système permet aux DJs de bénéficier de l'expérience tactile du vinyle tout en utilisant les avantages du mixage digital. Le vinyle timecodé présente l'avantage d'offrir une plus grande précision dans le contrôle de la musique tout en conservant le feeling authentique du vinyle. Il est largement utilisé dans le monde de la musique,Ai,Wikipedia,French,Topic,gpt-3.5-turbo-0125,0
Lumparland,"Lumparland est une municipalité de l'archipel d'Åland, en Finlande. Elle est située sur l'île de Lumparland et compte environ 400 habitants. La commune est connue pour son paysage pittoresque, avec de nombreux lacs et forêts. Elle offre également de nombreuses possibilités pour les activités de plein air, comme la randonnée, la pêche et le kayak. Lumparland est une destination prisée des amateurs de nature et de tranquillité, offrant un véritable havre de paix loin de l'agitation urbaine.",Ai,Wikipedia,French,Topic,gpt-3.5-turbo-0125,0
Études d'ingénieurs en Suisse,"Les études d'ingénieurs en Suisse offrent une formation de haute qualité et reconnue à l'échelle internationale. Les écoles d'ingénieurs suisses se distinguent par leur excellence académique, leurs infrastructures de pointe et leurs liens étroits avec l'industrie. Les étudiants ont également la possibilité de réaliser des stages en entreprise et de participer à des projets de recherche innovants. Grâce à ce parcours universitaire exigeant, les diplômés en ingénierie suisse sont très recherchés sur le marché du travail, tant en Suisse qu'à",Ai,Wikipedia,French,Topic,gpt-3.5-turbo-0125,0
