title,text,write_by,language,domain,method,LLM_model,label
Esteban I (papa),"Esteban I, también conocido como Esteban el Grande, fue el obispo de Bizancio desde el 371 hasta su muerte en el 395. Su papado estuvo caracterizado por su posición rigorista respecto a los antiguos apóstatas, una posición compartida por los novacianos. Sin embargo, esta postura se unió a su defensa de la validez del bautismo administrado por clérigos que habían apostatado, lo que supuso su enfrentamiento directo con la Iglesia. Esteban I creía firmemente que los antiguos apóstat",Ai,Spanish,Wikipedia,Continue,open-mistral-7b,0
Saint-Ex,"""Saint-Ex es una película biográfica estrenada el 17 de noviembre de 1996, acerca del escritor, aviador y aventurero francés Antoine de Saint-Exupéry y su esposa Consuelo Suncin. La película explora su vida antes de la fama, incluyendo sus primeros vuelos de correo aéreo en Sudamérica, donde conoció a Consuelo. Las escenas muestran el romance entre ellos y cómo su matrimonio influyó en su escritura. La trama sigue su carrera literaria, con una especial atención a su famoso libro '",Ai,Spanish,Wikipedia,Continue,open-mistral-7b,0
The Crazies (película de 1973),"""Lee Hessel, a producer at Cambist Films and with whom Romero had previously worked on his previous film ""There's Always Vanilla,"" read the script. Although skeptical at first, Hessel was impressed by the originality and horror elements of George A. Romero's ""The Crazies."" He saw great potential in the story of a small town being overwhelmed by a virus that turns its inhabitants into violent, deranged individuals. With a modest budget, Romero was given the green light to bring his vision to life. Principal photography began in Evans City, Pennsylvania, in May 1972, with a cast that included Lane Carroll, Will Libby, and Harold Wayne",Ai,Spanish,Wikipedia,Continue,open-mistral-7b,0
El inglés (obra de teatro),"La obra está integrada por una sucesión de textos dramatizados por Pepe Soriano y temas ejecutados por el Cuarteto Zupay, a la manera de una obra lírica. El espíritu de la obra está marcado por la exploración de temas como la identidad, la memoria, y la comunicación humana. Each text is followed by a musical interlude, performed by the Quartet Zupay, which amplifies and complements the emotional content of the dialogue. The play is structured as a series of vignettes, connected by the common thread of language and its ability to both unite and divide people. Through the",Ai,Spanish,Wikipedia,Continue,open-mistral-7b,0
Duramadre,"""El extremo superior continúa sin límites netos con la duramadre craneal. Por su superficie externa, se adhiere al foramen magno y al atlas. El extremo inferior constituye el comienzo de la columna vertebral, formando el primer segmento, el atlas. La duramadre, también llamada médula espinal protectora, es una estructura rígida y continua que envuelve la médula espinal y protege a las raíces nerviosas que salen del cráneo. Esta continuidad permite la transmisión de las solicitudes nerv",Ai,Spanish,Wikipedia,Continue,open-mistral-7b,0
Renault Magnum,"El Renault Magnum, un camión de carga pesada de Renault Trucks, dispone de un sistema de frenado centralizado avanzado. Este sistema incluye un freno motor, freno de escape, ralentizadores y frenos de servicio. La deceleración es provocada por la acción simultánea de estos frenos, lo que resulta en una parada rápida y efectiva. El sistema centralizado permite una distribución equilibrada de la presión de freno, lo que mejora la estabilidad y el control del vehículo. Además, el Renault Magnum está equipado",Ai,Spanish,Wikipedia,Continue,open-mistral-7b,0
Llamado al altar,"El llamado al altar es una práctica común en algunas Iglesias Evangélicas. Consiste en una invitación realizada por un predicador para que aquellos que deseen hacer un compromiso espiritual con Jesucristo lo hagan al acercarse al altar. Durante este momento, el predicador ofrecerá oraciones de bendición y rezará por los asistentes. Las personas que responden a la invitación pueden hacerlo individualmente o en grupo. Al acercarse al altar, los asistentes pueden sentirse libre de sus pecados y pedir perdón, renunciar a las",Ai,Spanish,Wikipedia,Continue,open-mistral-7b,0
Filtración,"La variedad de dispositivos de filtración o filtros es tan extensa como las variedades de materiales porosos disponibles como medios filtrantes y las condiciones particulares de cada aplicación: desde sencillos dispositivos de mangas de tela hasta complejos sistemas de filtración multimedia. La filtración, en español, se refiere al proceso de separar sólidos, líquidos o gases de una mezcla por medio de un medio filtrante. Los filtros se utilizan en una amplia gama de industrias, desde el agua potable y el tratamiento de",Ai,Spanish,Wikipedia,Continue,open-mistral-7b,0
Pilastra,"Una pilastra, palabra proveniente del italiano ""pilastro,"" es un pilar o columna, de base cuadrangular, adosado a un muro o pared. Su función puede ser estructural, sosteniendo techo, tejado, entablamento, moldura o arquitrabe, o decorativa, en el caso de ser integrada en esculturas o relieves. Las pilastras se pueden encontrar en diversos estilos arquitectónicos, desde el clásico griego y romano hasta el renacentista y barroco. Poseen un diámetro variable, desde delgadas hasta masivas, y",Ai,Spanish,Wikipedia,Continue,open-mistral-7b,0
Palacio de Aquisgrán,"Aunque el Palacio de Aquisgrán es famoso por su grandiosa arquitectura y hermosas decoraciones, existían otras estructuras importantes en el recinto del castillo. Fuera del complejo palatino se encontraba un gineceo, un cuartel, un hospicio, un parque para la práctica de la caza, y una casa de fieras en la que vivía el famoso jardinero real, Hainault. El gineceo, o casa de la reina, era un edificio confortable y elegante donde la reina y sus damas podían pasar el tiempo en lab",Ai,Spanish,Wikipedia,Continue,open-mistral-7b,0
Novellana,"""Por la ejemplar labor de recuperación y defensa del patrimonio histórico-artístico, Novellana ha logrado restablecer el antiguo hospital de peregrinos, la iglesia parroquial de San Martín y su retablo mayor. Estas obras han sido posibles gracias a la coordinación y esfuerzo conjunto de la comunidad local, instituciones culturales y organismos gubernamentales. El hospital, que data del siglo XIV, se encuentra en proceso de transformación en un espacio museal, ofreciendo visitas guiadas y exposiciones temporales. La igles",Ai,Spanish,Wikipedia,Continue,open-mistral-7b,0
