Train on,Test on,Test on
English (open-mistral-7b),English (gemini-pro),English (gpt-3.5-turbo-0125)
English (gemini-pro),English (open-mistral-7b),English (gpt-3.5-turbo-0125)
English (gpt-3.5-turbo-0125),English (gemini-pro),English (open-mistral-7b)
French (open-mistral-7b),French (gemini-pro),French (gpt-3.5-turbo-0125)
French (gemini-pro),French (open-mistral-7b),French (gpt-3.5-turbo-0125)
French (gpt-3.5-turbo-0125),French (gemini-pro),French (open-mistral-7b)
Spanish (open-mistral-7b),Spanish (gemini-pro),Spanish (gpt-3.5-turbo-0125)
Spanish (gemini-pro),Spanish (open-mistral-7b),Spanish (gpt-3.5-turbo-0125)
Spanish (gpt-3.5-turbo-0125),Spanish (gemini-pro),Spanish (open-mistral-7b)
