title,text,write_by,language,domain,method,LLM_model,label
Esteban I (papa),"cartaginense y con el papa Esteban I. En un concilio celebrado en el año 250, Esteban I condenó la postura de los novacianos y decretó la validez del bautismo administrado por clérigos que habían apostatado, buscando mantener la unidad de la Iglesia. Sin embargo, su decisión provocó la ira de los seguidores del rigorismo novaciano, quienes continuaron desafiando la autoridad papal. A pesar de este conflicto, Esteban I se mantuvo firme en su",Ai,Spanish,Wikipedia,Continue,gpt-3.5-turbo-0125,0
Saint-Ex,"su vida durante la Segunda Guerra Mundial. Dirigida por Jean-Jacques Annaud, la película se centra en los años turbulentos del autor de ""El Principito"" como piloto en la aviación militar francesa. A través de flashbacks y escenas emocionantes, el público es transportado al mundo de Saint-Exupéry y sus experiencias de combate en el norte de África. La actuación magistral del actor francés Bruno Ganz como Antoine de Saint-Exupéry recibió elogios de la crítica y el reconocimiento del público",Ai,Spanish,Wikipedia,Continue,gpt-3.5-turbo-0125,0
The Crazies (película de 1973),"Como resultado, Romero y su equipo comenzaron a filmar ""The Crazies"" en Pennsylvania en 1972. La trama gira en torno a un pequeño pueblo en el que un virus mortal es liberado accidentalmente, desencadenando el caos y la locura entre los residentes. La película combina elementos de ciencia ficción, horror y thriller, y se ha convertido en un clásico de culto. Aunque inicialmente recibió críticas mixtas, con el tiempo ha sido aclamada por su capacidad para generar tensión y por su análisis de la paranoia",Ai,Spanish,Wikipedia,Continue,gpt-3.5-turbo-0125,0
El inglés (obra de teatro),"La obra está integrada por una sucesión de textos dramatizados por Pepe Soriano y temas ejecutados por el Cuarteto Zupay, a la manera de una obra lírica. El espíritu de la producción se enmarca en la crítica social y política, destacando la ironía y la sátira como elementos fundamentales. La pieza teatral ha sido aclamada por la crítica y el público por su originalidad y su capacidad para generar reflexión en torno a temas de actualidad. El inglés es considerada una obra innovadora y provocadora dentro",Ai,Spanish,Wikipedia,Continue,gpt-3.5-turbo-0125,0
Duramadre,"continúa hasta la segunda vértebra sacra. La duramadre es la capa más externa de las tres meninges que protegen el sistema nervioso central, junto con la aracnoides y la piamadre. Está compuesta principalmente por tejido fibroso denso y juega un papel crucial en la protección del cerebro y la médula espinal. Además, proporciona soporte estructural a estos órganos vitales y ayuda a mantener un equilibrio adecuado de líquido cefalorraquídeo. La duramadre también está",Ai,Spanish,Wikipedia,Continue,gpt-3.5-turbo-0125,0
Renault Magnum,"de dispositivos de frenado de manera eficiente y segura. Además, el Renault Magnum destaca por su potente motor que proporciona un excelente rendimiento en carretera. Con una cabina espaciosa y cómoda, este camión es ideal para largas jornadas de trabajo. Gracias a su diseño aerodinámico, el Renault Magnum ofrece una óptima eficiencia en el consumo de combustible, lo que lo convierte en una excelente opción para transportistas profesionales. En resumen, el Renault Magnum es un camión de gran calidad y fiabilidad que cumple con las expect",Ai,Spanish,Wikipedia,Continue,gpt-3.5-turbo-0125,0
Llamado al altar,"compromiso espiritual más profundo puedan acercarse al altar y expresar públicamente su decisión. Esta práctica se lleva a cabo generalmente al final de un servicio religioso, donde se invita a los fieles a acercarse y recibir oración, consejería o apoyo espiritual. El llamado al altar busca fomentar la reflexión, la reflexión y el compromiso con la fe, permitiendo a los creyentes reafirmar su relación con Dios y con la comunidad religiosa.",Ai,Spanish,Wikipedia,Continue,gpt-3.5-turbo-0125,0
Filtración,"de aire para Refrigeración, hasta sofisticados sistemas de filtración de agua para plantas industriales. Los filtros se utilizan con el fin de separar partículas sólidas de líquidos o gases, mejorando así la calidad del fluido y protegiendo equipos y procesos de posibles daños. Algunos de los tipos de filtros más comunes incluyen los filtros de cartucho, de bolsa, de prensa, de disco y de tambor, cada uno diseñado para cumplir con necesidades específicas de filtración. En general, la filtración es",Ai,Spanish,Wikipedia,Continue,gpt-3.5-turbo-0125,0
Pilastra,"Una pilastra, palabra proveniente del italiano ""pilastro"", es un pilar o columna, de base cuadrangular, adosado a un muro o pared. Su función puede ser estructural, sosteniendo el peso de una estructura arquitectónica o decorativa, dando solidez y soporte. Las pilastras se utilizan comúnmente en arquitectura clásica y están presentes en edificaciones históricas y modernas alrededor del mundo. Su diseño puede variar en estilos y materiales, desde piedra y mármol hasta madera y",Ai,Spanish,Wikipedia,Continue,gpt-3.5-turbo-0125,0
Palacio de Aquisgrán,"de baños. Además, se encontraban las estancias de los sirvientes y los establos donde se guardaban los caballos de los emperadores. El Palacio de Aquisgrán fue la residencia principal de Carlomagno durante gran parte de su reinado y se considera uno de los ejemplos más importantes de la arquitectura carolingia en Europa. Su ubicación estratégica en la frontera entre el Imperio Franco y el Sacro Imperio Romano Germánico lo convirtió en un importante centro político y cultural durante la Edad Media.",Ai,Spanish,Wikipedia,Continue,gpt-3.5-turbo-0125,0
Novellana,"de Luiña y por su dedicación a la preservación y promoción de la cultura local, Novellana ha sido reconocida como un importante enclave turístico en la región asturiana. Su entorno natural, con playas y acantilados impresionantes, atrae a visitantes de todas partes del mundo en busca de tranquilidad y belleza. Además, la rica gastronomía de la zona, basada en productos del mar y de la tierra, es otro de sus grandes atractivos. La fusión de historia, arte, naturaleza y tradición convierten",Ai,Spanish,Wikipedia,Continue,gpt-3.5-turbo-0125,0
Demetrio de Tesalónica,"Demetrio de Tesalónica es ampliamente venerado en la Iglesia Ortodoxa y en la Iglesia Católica como uno de los Cuatro Santos Comuneros junto con san Jorge, san Teodoro de Tesalónica y san Procopio. Se le atribuyen numerosos milagros y protección contra la guerra y la epidemia. En la icónica pintura de su martirio, se le representa como un joven valiente resistiendo las adversidades con fe inquebrantable. Su festividad se celebra el 26 de octubre en la Iglesia Ortodoxa y",Ai,Spanish,Wikipedia,Continue,gpt-3.5-turbo-0125,0
Contaminación," una de las principales fuentes de contaminación ambiental, especialmente en derrames como el ocurrido en el Golfo de México en 2010. Estos derrames afectan gravemente la vida marina, causando daños irreparables en los ecosistemas acuáticos. Además, la quema de petróleo libera gases contaminantes en la atmósfera, contribuyendo al calentamiento global. Es fundamental implementar medidas de prevención y control para reducir el impacto de la contaminación por petróleo en nuestro planeta.",Ai,Spanish,Wikipedia,Continue,gpt-3.5-turbo-0125,0
