title,text,write_by,domain,language,method,LLM_model,label
Humbert Ricolfi,"Humbert Jean Joseph Fréderic Ricolfi naît le 12 janvier 1920 à Contes, dans les Alpes-Maritimes. Il est le fils de Paul Ricolfi, un viticulteur, et de Delphine Allardi. Après la Seconde Guerre mondiale, il reprend la gestion de la petite exploitation familiale dévastée par les événements militaires. Malgré les difficultés économiques et la reconstruction à entreprendre, Humbert décide de moderniser la viticulture traditionnelle de son père en adoptant des techniques innovantes. Il établit des partenariats avec des",Ai,Wikipedia,French,Continue,open-mistral-7b,0
Breuillet (Charente-Maritime),"La ville de Breuillet, située dans le département de la Charente-Maritime en région Nouvelle-Aquitaine, est devenue une des vitrines de la musique country en France depuis 2010. La ville est le cadre depuis cette année de l'un des plus importants festivals de musique country du pays, les Seaside Country’s US Days. Organisé au début du mois de septembre par l'association Seaside Country Danse, ce festival rassemble chaque année des milliers de visiteurs venus découvrir ou réédiser leur amour pour la musique country américaine. Plusieurs artistes ren",Ai,Wikipedia,French,Continue,open-mistral-7b,0
Carnaval de Guadeloupe,"""Vaval, diminutive Creole for Carnival, is the king of the Carnival in Guadeloupe. He symbolizes and embodies all the problems of the past year. He marches on Sunday during Fat Tuesday. He dies on Ash Wednesday before the crowd, symbolizing the end of merriment and the beginning of Lent."" ""Lors du défilé final, Vaval est brûlé vif sur une pyre. Cet épisode traditionnel représente la mort et la régeneration. La procession se termine par une grande fête, où les Guadeloupéens célébrent la vie et la joie avant la période de jeûne et",Ai,Wikipedia,French,Continue,open-mistral-7b,0
Alimentation,"Les troubles du comportement ou des conduites alimentaires (TCA) se définissent par une relation « anormale » à l'alimentation. Ces troubles sont variés et peuvent altérer plus ou moins fortement la santé physique et mentale d'un individu. La boulimie et l'anorexie sont deux formes bien connues de TCA. La boulimie est caractérisée par des périodes de surconsommation de nourriture, suivies de sentiments de détresse et de régulation des pésions par des mesures extrêmes, telles que la vomissement ou l'utilisation de diur",Ai,Wikipedia,French,Continue,open-mistral-7b,0
Vitry-sur-Seine,"""À la fin du XIIIe siècle, Vitry-sur-Seine est divisée en deux paroisses, celle de Saint-Gervais-et-Saint-Protais et celle de Saint-Germain. Le village compte alors entre deux et trois mille habitants. Le château de Vitry appartient à Jacques-Marie de Vougny, ancien grand maître auxiliaire de l'Ordre de Malte. La ville s'étend le long du cours de la Seine et est bordée par des terres agricoles. Les habitants vivent majoritairement de l'agriculture, de la viticulture et de la pêche",Ai,Wikipedia,French,Continue,open-mistral-7b,0
George Everest,"Il est en grande partie responsable de la triangulation des Indes, entamée cependant par William Lambton en 1806, une tâche qui dura plusieurs décennies. L'Everest fut étudié, en 1852, sous son successeur Andrew Waugh et c'est alors qu'après calcul de nombreux relevés topographiques, il fut découvert qu'une montagne inconnue, jusqu'alors nommée "" Peak XV"", atteignait la hauteur record de 8,848 mètres (29,029 pieds). Ce sommet, situé dans le Mahal",Ai,Wikipedia,French,Continue,open-mistral-7b,0
Les Avanchets,"Dans la cité des Avanchets en Suisse, la question du stationnement individuel pose des enjeux significatifs depuis plusieurs années. Malgré la présence de 150 places publiques, il n'est que little over 300 places en tout pour les 5 500 résidents. Ceci entraîne desemboutements fréquents et des difficultés à trouver un parking pour certains habitants. Les autorités locales ont tenté de résoudre ce problème en promouvant l'utilisation des transports en commun et en encouragant le carpooling. Toutefois, ces initiatives n'ont pas about",Ai,Wikipedia,French,Continue,open-mistral-7b,0
Lenk im Simmental,"La commune de La Lenk est dotée d'un exécutif, le Conseil communal (""Gemeinderat""), composé de sept membres élus selon un mode de scrutin majoritaire. Le législatif est une Assemblée communale (""Gemeindeversammlung"") composée de tous les citoyens inscrits et des membres du conseil communal. Les élections communales se tiennent tous les quatre ans. Le conseil communal est responsable de la politique locale et de l'administration des affaires quotidiennes de la commune. Il adopte le budget, détermine les taxes locales et peut prendre des décisions",Ai,Wikipedia,French,Continue,open-mistral-7b,0
Thrombocyte,"""Ce sont les plus petits éléments figurés du sang. Les thrombocytes, ou plaquettes sanguines, ne sont pas des cellules à proprement parler. Il s'agit de fragments cellulaires formés à partir d'un précurseur plurinucléé, le mégacaryocyte, présent dans la moelle osseuse. La formation de thrombocytes se fait par la dégranulation et la libération de ces fragments dans le sang. Une fonction principale des thrombocytes est la coagulation du sang pour arrêter l'hémorragie en cas de bless",Ai,Wikipedia,French,Continue,open-mistral-7b,0
Bene Gesserit,"Une sœur Bene Gesserit est en mesure de déterminer dans quelle direction va le cours des pensées de son interlocuteur. Ainsi, elle peut influencer discrètement ses conversations en le guidant vers des idées spécifiques. De plus, elle peut connaître l'état d'esprit réel de celui-ci, ce qu'il « pense » réellement au-delà de ses paroles. Grâce à leur maîtrise des réseaux mentaux, elles peuvent détecter les mensonges et les émotions cachées. Elles utilisent ces compétences pour manip",Ai,Wikipedia,French,Continue,open-mistral-7b,0
