title,text,write_by,language,domain,method,LLM_model,label
Radiación solar,"Es la zona inferior de la atmósfera que se extiende desde el nivel del mar hasta unos 16 km. Es una capa muy densa, en ella se encuentra más del 75 % del aire de la atmósfera, además contiene mucho vapor de agua condensado en forma de nubes, y gran cantidad de polvo. A ella llegan la luz visible y los rayos UV que logran atravesar el resto de las capas de la atmósfera. Es la primera capa que queda en contacto con la corteza terrestre.",Human,Spanish,Wikipedia,,,1
Felipe Kast,"Es el tercero de los cinco hijos de Cecilia Sommerhoff Hyde y del fallecido economista chileno Miguel Kast Rist, quien se desempeñó como ministro director de Odeplan (1978-1980), ministro del Trabajo y Previsión Social (1980-1982), y como presidente del Banco Central de Chile (1982) durante la Dictadura militar de Augusto Pinochet. Kast Rist es considerado como uno de los pioneros del esquema de políticas focalizadas en superar la pobreza en Chile.",Human,Spanish,Wikipedia,,,1
Ptolomeo de Epiro,"A la muerte de su padre, fue su madre Olimpia la que asolió la regencia en nombre de sus dos hijos menores Pirro y Ptolomeo. Después del reinado y muerte de su hermano Pirro II en el 234 a. C. heredó el trono. Organizó una expedición militar durante la cual enfermó y murió hacia el 230 a. C., aunque Polieno, en cambio, cuenta una historia diferente y afirma que fue asesinado. Le sucedió su sobrino Pirro III.",Human,Spanish,Wikipedia,,,1
Jurij Bartolomej Vega,"Vega fue miembro de la Universidad de Ciencias Aplicadas de Mainz, de la Sociedad Física y Matemática de Érfurt, de la Sociedad Científica Bohemia de Praga y de la Academia Prusiana de Ciencias de Berlín. También fue miembro asociado de la Sociedad Científica Británica en Gotinga. Se le otorgó la Orden de María Teresa el 11 de mayo de 1796. En 1800 obtuvo un título de barón hereditario incluyendo el derecho a su propio escudo de armas.",Human,Spanish,Wikipedia,,,1
Eukaryota,"Solo después de desarrollar su citoesqueleto pudo el eucariota ancestral realizar la fagocitosis, ya que es este el que, mediante crecimiento diferencial de sus fibras, logra que la célula se deforme para que la fagocitosis ocurra. La fagocitosis es también una propiedad ancestral de los eucariotas, si bien se ha perdido en grupos que se adaptaron a otras formas de alimentación. Hongos y plantas perdieron esta capacidad al desarrollar una pared celular rígida externa a la célula, pero ya contaban con otros modos de nutrición, la saprotrofia o el parasitismo en hongos y la fotosíntesis en plantas.",Human,Spanish,Wikipedia,,,1
Subasta inversa,"La mayoría de las compras que están sujetas a las subastas inversas en los últimos años ha estado en la categoría de comprador de diseño de bienes seguida de los de servicios y la comodidad de los artículos básicos. Hoy en día, un promedio de 5% del gasto empresarial total se origina mediante subastas a la inversa. Esta cifra fue mayor en los últimos años, lo que indica que los bienes y servicios a los que la subasta inversa puede aplicarse con éxito son ilimitados.",Human,Spanish,Wikipedia,,,1
Rock de México,"Conforme fue avanzando la década las bandas que más participación en los conciertos metaleros tenían fueron Next y Transmetal, esta última integrada por los hermanos Partida: Lorenzo, Juan y Javier, al lado del vocalista Alberto Pimentel. Por su lado, en 1988, se forma la banda Toxodeth, que a principios de los noventa lograron grabar un disco en Discos Culebra, un subsello de BMG.",Human,Spanish,Wikipedia,,,1
Yuri Zhirkov,Yuri ganó la Copa de la UEFA en la temporada 2004-05 con el CSKA Moscú. Principalmente juega como volante ofensivo aunque antes se desempeñaba como defensa izquierdo. Su picardía y abundancia de creatividad hacen de él uno de los jugadores más valiosos en su equipo y en la selección rusa. Además trabaja mucho en la recuperación y es un buen marcador.,Human,Spanish,Wikipedia,,,1
Programa Viking,"Mucho más recientemente, se ha argumentado que las sondas Viking pudieron no solo ser incapaces de detectar la vida en Marte y, sobre todo, que los científicos podrían no haber sabido interpretar los datos que éstas transmitieron, sino que a causa de los múltiples experimentos las sondas pudieron haber acabado con la vida existente en las muestras, ya que los posibles microorganimos marcianos no responderían igual que los terrestres a los procesos químicos a los que se les habría expuesto.",Human,Spanish,Wikipedia,,,1
Imai,"Su tipo espectral y la distancia —unos 360 años luz— son similares a los de Acrux (α Crucis) y Becrux (β Crucis), y se piensa que las tres estrellas tienen un origen común aunque no estén gravitacionalmente unidas. Al igual que Becrux, es una estrella variable del tipo Beta Cephei, con un pequeño cambio en su luminosidad con un período de 3,7 horas.",Human,Spanish,Wikipedia,,,1
Mote,"En Chile, cuando se dice ""mote"" por defecto, se refiere al ""mote de trigo"", es decir al grano de trigo hervido y pelado, comúnmente en un proceso no necesariamente industrial en donde se hierve el trigo crudo con una mezcla de ceniza de árbol nativo, mediante este proceso se le logra quitar la cáscara al trigo. Se usa principalmente para elaborar el refresco dulce ""mote con huesillos"". Salado se usa como acompañamiento en guisos, lo que le da el nombre (""porotos con mote"" o ""papas con mote"") y en algunas sopas, llamadas ""de trigo"".",Human,Spanish,Wikipedia,,,1
Amy Goodman,"Dave Zirin del ""Huffington Post"" entrecomilló las delaraciones de Derrick O'Keefe, cargo de la Alianza Canadiense por la Paz: ""Es muy poco probable que el acoso de una muy conocida y respetada periodista como Amy Googman, acerca de si hablaría de los Juegos Olímpicos fue incentivado por un exceso de celo, de alguna manzana podrida dentro de los guardias de frontera canadienses. Parece una clara señal de la frialdad del Comité Olímpico Internacional y de los impulsores de Los Juegos de la corporación local para apagar cualquier potencial disidencia.""",Human,Spanish,Wikipedia,,,1
Clásico del fútbol mexicano,"El primer partido registrado como un duelo entre estos conjuntos, sin contar con refuerzos ajenos, y de manera más unificada para las fuentes, fue el amistoso de 5 de febrero de 1932 celebrado en el Parque Oro de Guadalajara. El resultado del encuentro fue empate a dos tantos con goles de Antonio Ramírez y Rodolfo Herrera para los rojoblancos; en tano Felipe Haro y Leopoldo López Noriega marcaron para los cremas.",Human,Spanish,Wikipedia,,,1
Magikano,"Ayumi Mamiya es una bruja maldecida a perder sus poderes, pero hay un chico, Haruo Yoshikawa, que puede romper el encanto para poder recuperar sus poderes. Haruo cree que es un chico normal, pero no sabe que sus tres hermanas son brujas y que le protegen con sus poderes. Ayumi quiere despertar los poderes que Haruo posee sin saberlo, pero sus hermanas no lo desean.",Human,Spanish,Wikipedia,,,1
La Mexicana Radio,"En su invitación a sintonizar la emisora, Basay ha declarado: """"La Mexicana Radio espera compartir este proyecto por mucho tiempo para disfrutar, conocer e interiorizarnos de la cultura mexicana, su música, su gente, su tremenda influencia en Chile y el mundo"""". Para concluir con una arenga: """"Bienvenidos y a gozar, a gozar, con La Mexicana Radio 1330 AM. Vamos Chile ¡que se puede!"""".",Human,Spanish,Wikipedia,,,1
Esteban Alvarado,"Alvarado fue uno de los artífices del éxito de su equipo. Con sus numerosas intervenciones de mérito, el cancerbero desesperó a los delanteros rivales y allanó a su equipo el camino hacia las semifinales. A pesar de que Costa Rica acabó perdiendo tanto en la semifinal como en el partido por el tercer y cuarto puesto, Alvarado ofreció un rendimiento sobresaliente.",Human,Spanish,Wikipedia,,,1
Berlín,"Berlín tiene un clima oceánico (clasificación climática de Köppen: ""Cfb"") la parte oriental de la ciudad tiene una ligera influencia de un clima continental húmedo (clasificación climática de Köppen: ""Dfb""); especialmente en la isoterma de 0 °C, siendo uno de los cambios la precipitación anual según las masas de aire y la mayor abundancia durante un período del año. Este tipo de clima presenta temperaturas de verano moderadas pero a veces calurosas (por ser semicontinentales) e inviernos fríos pero no rigurosos la mayor parte del tiempo.",Human,Spanish,Wikipedia,,,1
