title,text,write_by,domain,language,method,LLM_model,label
Bataille de Balaklava,"La bataille de Balaklava est une bataille livrée le 25 octobre 1854 pendant la guerre de Crimée. Elle oppose les forces alliées françaises et britanniques à l'armée russe. La bataille est marquée par la fameuse charge de la brigade légère, une attaque désastreuse de la cavalerie britannique qui se solde par de lourdes pertes. Malgré l'échec de la charge, les alliés parviennent à remporter la victoire et à repousser l'armée russe. La bataille de Balaklava est considérée comme l'une des plus grandes batailles de la guerre de Crimée et est restée célèbre grâce à la charge de la brigade légère.",Ai,Wikipedia,French,Topic,gemini-pro,0
Calendrier hébraïque,"Le calendrier hébraïque est un calendrier luni-solaire utilisé par le judaïsme pour déterminer les dates des fêtes et des célébrations religieuses. Il est basé sur le cycle lunaire, avec des mois commençant par la nouvelle lune, et ajusté au cycle solaire par l'ajout de mois intercalaires. Le calendrier hébraïque est utilisé depuis l'Antiquité et reste en usage aujourd'hui pour des fins religieuses et culturelles.",Ai,Wikipedia,French,Topic,gemini-pro,0
Armes de destruction massive en Iran,"L'Iran est accusé de développer des armes de destruction massive (ADM), notamment des armes nucléaires, chimiques et biologiques. L'Agence internationale de l'énergie atomique (AIEA) enquête sur le programme nucléaire iranien depuis 2003 et a publié plusieurs rapports exprimant ses préoccupations quant à ses activités. Le gouvernement iranien a toujours nié avoir l'intention de développer des armes nucléaires et affirme que son programme nucléaire est destiné à des fins pacifiques. Cependant, de nombreux pays, dont les États-Unis, Israël et l'Union européenne, estiment que l'Iran tente de développer des armes nucléaires.",Ai,Wikipedia,French,Topic,gemini-pro,0
Compagnie du Levant,"La Compagnie du Levant, aussi connue sous le nom de Compagnie de Marseille, était une compagnie commerciale française fondée en 1670. Elle avait pour objectif de développer le commerce avec le Levant, notamment avec l'Empire ottoman. La Compagnie disposait de privilèges accordés par le roi Louis XIV, lui donnant le monopole du commerce avec certaines régions du Levant. Elle a établi des comptoirs commerciaux dans plusieurs villes, dont Smyrne, Alep et Constantinople. La Compagnie a joué un rôle important dans le commerce des produits orientaux, tels que la soie, les épices et le café. Cependant, la concurrence d'autres compagnies européennes et les difficultés politiques dans le Levant ont finalement conduit à la faillite de la Compagnie du Levant en 1793.",Ai,Wikipedia,French,Topic,gemini-pro,0
Islam,"L'Islam est une religion monothéiste qui trouve son origine dans la péninsule arabique au VIIe siècle. Elle est fondée sur les enseignements du prophète Mahomet, qui sont consignés dans le Coran, considéré comme la parole révélée de Dieu. L'Islam repose sur cinq piliers : la profession de foi, la prière rituelle, le jeûne du mois de Ramadan, le pèlerinage à La Mecque et le don de charité. Il compte aujourd'hui plus de 1,9 milliard de fidèles à travers le monde, faisant de lui la deuxième religion la plus pratiquée.",Ai,Wikipedia,French,Topic,gemini-pro,0
Serveur racine du DNS,"Les serveurs racines du DNS sont des serveurs qui disposent d'informations faisant autorité sur les zones racines du DNS. Ils sont le fondement du système de noms de domaine (DNS), qui permet de traduire les noms de domaine lisibles par l'homme en adresses IP numériques. Les serveurs racines du DNS sont exploités par diverses organisations à travers le monde dans le cadre du système de noms de domaine. Ils sont chargés de fournir des informations sur l'emplacement des serveurs de noms responsables d'autres zones du DNS.",Ai,Wikipedia,French,Topic,gemini-pro,0
Macro-définition,"Une macro-définition est une définition qui s'efforce de fournir les conditions nécessaires et suffisantes pour qu'un objet soit un membre d'une classe particulière. Elle est généralement utilisée en philosophie, en linguistique et en sciences cognitives pour caractériser les concepts. Les macro-définitions se distinguent des micro-définitions, qui ne fournissent que des conditions nécessaires ou suffisantes pour l'appartenance à une classe.",Ai,Wikipedia,French,Topic,gemini-pro,0
Tableau périodique des éléments,"Le tableau périodique des éléments est une disposition tabulaire des éléments chimiques, ordonnés par numéro atomique, configuration électronique et propriétés chimiques récurrentes. Il est généralement présenté sous forme d'un tableau à 18 colonnes, appelées groupes, et 7 lignes, appelées périodes. Les éléments sont classés en quatre blocs : s, p, d et f. Les blocs s et p comprennent les éléments représentatifs, tandis que les blocs d et f comprennent les éléments de transition et les métaux de transition interne, respectivement. Le tableau périodique est un outil puissant pour organiser et comprendre les éléments chimiques et leurs propriétés. Il permet aux scientifiques de prédire le comportement des éléments et de concevoir de nouveaux matériaux et technologies.",Ai,Wikipedia,French,Topic,gemini-pro,0
Prestation compensatoire en droit français,"La prestation compensatoire est une somme d'argent versée par un époux à l'autre lors d'un divorce, destinée à compenser la disparité dans leurs conditions de vie résultant de la dissolution du mariage. Elle est fixée par le juge en fonction de divers critères, notamment les ressources des époux, leur situation professionnelle, leur niveau de vie et la durée du mariage. La prestation compensatoire peut être versée en une seule fois ou en plusieurs versements échelonnés. Elle est exonérée d'impôt sur le revenu pour le bénéficiaire et ne peut être ni cédée ni saisie.",Ai,Wikipedia,French,Topic,gemini-pro,0
Sains-en-Amiénois,"Sains-en-Amiénois est une commune française située dans le département de la Somme, en région Hauts-de-France. Elle se trouve à environ 25 km au nord d'Amiens, sur la route départementale 1017. La commune compte environ 1 200 habitants, appelés les Sainsois.",Ai,Wikipedia,French,Topic,gemini-pro,0
Capitaine Lahuche,"Capitaine Lahuche est un personnage de fiction créé par l'écrivain français Pierre Mac Orlan. Il s'agit d'un capitaine de la marine marchande qui navigue dans les mers du Sud et vit des aventures extraordinaires. Le personnage a été adapté au cinéma à plusieurs reprises, notamment dans le film ""Le Capitaine Lahuche"" réalisé par Jean-Pierre Melville en 1960.",Ai,Wikipedia,French,Topic,gemini-pro,0
Unreal Tournament 2003,"Unreal Tournament 2003 (UT2003) est un jeu vidéo de tir à la première personne développé par Digital Extremes et édité par Atari. Il est sorti sur PC en 2002 et sur Xbox en 2003. Le jeu est le troisième opus de la série Unreal Tournament et propose de nombreux modes de jeu, notamment la capture du drapeau, le tournoi par équipes et le duel. UT2003 a été acclamé par la critique pour ses graphismes, son gameplay et son multijoueur. Le jeu a également été salué pour son support du modding, qui a permis aux joueurs de créer de nouvelles cartes, modes et armes.",Ai,Wikipedia,French,Topic,gemini-pro,0
Les Hommes de la mer,"Les Hommes de la mer sont des gens de mer qui vivent sur l'eau. Ils sont pêcheurs, marins ou pirates. Ils vivent dans des bateaux et voyagent d'un endroit à l'autre. Ils sont habitués à la vie dure et aux dangers de la mer. Ils sont courageux et débrouillards. Ils ont un fort sens de la camaraderie et sont toujours prêts à s'entraider.",Ai,Wikipedia,French,Topic,gemini-pro,0
Suzanne Clément,"Suzanne Clément est une actrice canadienne née le 12 mai 1969 à Montréal. Elle a remporté le César de la meilleure actrice dans un second rôle en 2007 pour son rôle dans ""J'ai tué ma mère"" et le prix Génie de la meilleure actrice en 2010 pour son rôle dans ""Mommy"". Clément a joué dans de nombreux films et séries télévisées, notamment ""Laurence Anyways"", ""Les Invasions barbares"" et ""Game of Thrones"". Elle est connue pour son jeu intense et sa capacité à incarner des personnages complexes.",Ai,Wikipedia,French,Topic,gemini-pro,0
