title,text,write_by,language,domain,method,LLM_model,label
Radiación solar,"La radiación solar es la energía emitida por el Sol en forma de partículas y ondas electromagnéticas. Esta energía es vital para la vida en la Tierra, ya que es la principal fuente de calor y luz. La radiación solar se compone de diferentes tipos de radiación, como la luz visible, los rayos ultravioleta y los rayos infrarrojos. Sin embargo, la exposición excesiva a la radiación solar puede ser perjudicial para la salud, causando quemaduras solares, envejecimiento prematuro de la piel y aumentando el",Ai,Spanish,Wikipedia,Topic,gpt-3.5-turbo-0125,0
Felipe Kast,"Felipe Kast Sommerhoff (Santiago, 28 de junio de 1977) es un político chileno, miembro del partido Evolución Política (Evópoli). Es licenciado en Economía y Ciencias Políticas de la Universidad de los Andes y tiene un máster en Políticas Públicas de la Universidad de Harvard. Fue diputado por el distrito 25 de Santiago entre 2010 y 2014, y posteriormente senador por la región de La Araucanía desde 2018. Es conocido por su postura liberal",Ai,Spanish,Wikipedia,Topic,gpt-3.5-turbo-0125,0
Ptolomeo de Epiro,"Ptolomeo de Epiro fue un rey de la dinastía de los Molosianos en Epiro en el siglo III a.C. Fue conocido por su valentía en el campo de batalla y por su habilidad diplomática. Ptolomeo expandió su reino a través de alianzas estratégicas con otros estados griegos. Sin embargo, su reinado estuvo marcado por conflictos constantes con Macedonia y otras potencias regionales. A pesar de sus esfuerzos por mantener la independencia de Epiro, Ptolomeo",Ai,Spanish,Wikipedia,Topic,gpt-3.5-turbo-0125,0
Jurij Bartolomej Vega,"Jurij Bartolomej Vega (1754-1802) fue un matemático y oficial militar esloveno. Reconocido por su trabajo en trigonometría y matemáticas aplicadas, Vega realizó importantes contribuciones al cálculo de logaritmos y a la mejora de la precisión de las tablas trigonométricas. Además, fue pionero en el uso de métodos numéricos en la resolución de ecuaciones. Vega también participó activamente en la defensa militar de Eslovenia contra las invasiones francesas, donde",Ai,Spanish,Wikipedia,Topic,gpt-3.5-turbo-0125,0
Eukaryota,"Los eucariotas son un grupo diverso de organismos que incluye animales, plantas, hongos y protistas. Se caracterizan por tener células con un núcleo definido y organelos especializados, como mitocondrias y lisosomas. Los eucariotas son el resultado de un proceso evolutivo complejo que les ha permitido adaptarse a una gran variedad de hábitats. Su capacidad para formar tejidos y órganos les ha dado una ventaja evolutiva significativa, lo que les ha permitido dominar los ecosist",Ai,Spanish,Wikipedia,Topic,gpt-3.5-turbo-0125,0
Subasta inversa,"La subasta inversa es un proceso en el que los compradores compiten entre sí para obtener los mejores precios de los proveedores. En esta modalidad de subasta, los vendedores presentan sus ofertas más bajas y los compradores seleccionan la que más les conviene. Este método es común en la industria de suministros, donde las empresas buscan reducir costos y obtener productos o servicios de calidad al mejor precio posible. La subasta inversa permite a las organizaciones negociar de manera efectiva y lograr ahorros significativos en sus compras.",Ai,Spanish,Wikipedia,Topic,gpt-3.5-turbo-0125,0
Rock de México,"El rock en México ha tenido una larga historia que se remonta a la década de 1950 con pioneros como Los Teen Tops y Los Locos del Ritmo. Posteriormente, en los años 70, surgió un movimiento denominado ""Rock en tu idioma"" que catapultó a bandas como Caifanes y Soda Stereo a la fama. En la actualidad, el rock mexicano sigue siendo vibrante con grupos como Molotov, Café Tacvba y Zoé, que continúan desafiando los límites y creando música innovadora. Su influencia",Ai,Spanish,Wikipedia,Topic,gpt-3.5-turbo-0125,0
Yuri Zhirkov,"Yuri Zhirkov es un futbolista profesional ruso que juega como lateral izquierdo o centrocampista en el club Zenit San Petersburgo y la selección nacional de Rusia. Nacido el 20 de agosto de 1983 en Tambov, Zhirkov ha tenido una exitosa carrera que incluye su paso por clubes como CSKA Moscú, Chelsea y Dinamo de Moscú. Con más de 80 apariciones internacionales, ha representado a Rusia en múltiples torneos, incluidos la Eurocopa y la Copa del Mundo",Ai,Spanish,Wikipedia,Topic,gpt-3.5-turbo-0125,0
Programa Viking,"El Programa Viking fue una misión espacial realizada por la NASA en la década de 1970 con el objetivo de estudiar Marte. Consistió en el envío de dos naves espaciales, Viking 1 y Viking 2, que aterrizaron en el planeta rojo en 1976. Estas naves llevaban a bordo sofisticados instrumentos científicos para investigar la geología, la atmósfera y la posible existencia de vida en Marte. Aunque no se encontraron pruebas definitivas de vida, el Programa Viking proporcionó",Ai,Spanish,Wikipedia,Topic,gpt-3.5-turbo-0125,0
Imai,"Imai es un destacado científico japonés conocido por sus contribuciones en el campo de la inteligencia artificial. Nacido en Tokio en 1976, se graduó de la Universidad de Ciencia y Tecnología de Japón antes de completar su doctorado en la Universidad de Stanford. Imai ha publicado numerosos artículos sobre aprendizaje profundo y redes neuronales, y ha sido reconocido con varios premios por su innovadora investigación. Actualmente, es profesor en la Universidad de Tokio, donde continúa investigando y enseñando en el campo de la inteligencia",Ai,Spanish,Wikipedia,Topic,gpt-3.5-turbo-0125,0
Mote,"El mote es un plato tradicional sudamericano que consta de maíz cocido en agua con sal y a veces cal. Suele utilizarse como acompañamiento en diversas comidas típicas de países como Perú, Chile, Argentina y Bolivia. El mote se puede comer solo o mezclado con otros ingredientes como carnes, verduras o legumbres. Es una fuente rica en carbohidratos y fibra, siendo una opción saludable y nutritiva. Además, su sabor suave y textura suave lo convierten en un alimento popular y apreciado en",Ai,Spanish,Wikipedia,Topic,gpt-3.5-turbo-0125,0
Amy Goodman,"Amy Goodman es una periodista y corresponsal de guerra estadounidense conocida por ser la presentadora del programa de radio y televisión ""Democracy Now!"". Nacida en 1957 en Nueva York, Goodman ha dedicado su carrera a informar sobre temas de justicia social, derechos humanos y política internacional. Ha recibido numerosos premios y reconocimientos por su labor periodística, incluyendo el premio Right Livelihood Award en 2008. Goodman es una figura destacada en el periodismo independiente y es reconocida por su valentía y compromiso con la verdad y la",Ai,Spanish,Wikipedia,Topic,gpt-3.5-turbo-0125,0
Clásico del fútbol mexicano,"El Clásico del fútbol mexicano es un partido muy esperado entre dos de los equipos más grandes de México: el Club América y el Club Deportivo Guadalajara. Esta rivalidad tiene una larga historia llena de emocionantes encuentros y momentos memorables. Los aficionados de ambos equipos se enfrentan en las gradas y hacen del Clásico un espectáculo único en el fútbol mexicano. Los partidos suelen estar llenos de intensidad y pasión, lo que los convierte en uno de los eventos más importantes del calendario futbolíst",Ai,Spanish,Wikipedia,Topic,gpt-3.5-turbo-0125,0
Magikano,"Magikano es una serie de anime y manga creada por Takeaki Momose. La historia sigue a Haruo Yoshikawa, un estudiante de secundaria que vive con sus hermanas brujas. Cuando descubre que su familia tiene poderes mágicos, se ve envuelto en situaciones cómicas y aventuras sobrenaturales. Con elementos de comedia y romance, Magikano ha ganado popularidad entre los fans del género. La serie combina magia, humor y romance de una manera única, lo que la convierte en una obra única y entretenida para",Ai,Spanish,Wikipedia,Topic,gpt-3.5-turbo-0125,0
La Mexicana Radio,"La Mexicana Radio es una emisora de radio mexicana que transmite música regional mexicana, noticias y programas de entretenimiento. Fundada en el año 1996, se ha convertido en una de las estaciones de radio más populares en México y en el extranjero, especialmente entre la comunidad hispanohablante. Con una programación variada que incluye programas en vivo con locutores reconocidos, La Mexicana Radio es conocida por su excelente selección musical y por ser una fuente confiable de información para sus oyentes. Su compromiso de promover la cultura mexicana y",Ai,Spanish,Wikipedia,Topic,gpt-3.5-turbo-0125,0
Esteban Alvarado,"Esteban Alvarado, nacido el 7 de abril de 1989 en San José, Costa Rica, es un portero de fútbol profesional que actualmente juega en el Club Deportivo Toluca de la Liga MX. Comenzó su carrera en el Saprissa de su país natal, donde se destacó por su habilidad bajo los tres palos. Ha representado a la selección nacional de Costa Rica en numerosas ocasiones, participando en la Copa del Mundo de la FIFA en 2014. Conocido por su agilidad y reflejos,",Ai,Spanish,Wikipedia,Topic,gpt-3.5-turbo-0125,0
Berlín,"Berlín es la capital de Alemania y una de las ciudades más vibrantes de Europa. Con una rica historia que abarca desde la era prusiana y el Imperio Alemán hasta la Guerra Fría y la división de la ciudad, Berlín es un crisol de culturas y estilos arquitectónicos. Con emblemáticos lugares como la Puerta de Brandeburgo, el Muro de Berlín y la Isla de los Museos, la ciudad ofrece una experiencia única a sus visitantes. Además, Berlín es conocida por su animada",Ai,Spanish,Wikipedia,Topic,gpt-3.5-turbo-0125,0
