title,text,write_by,domain,language,method,LLM_model,label
Humbert Ricolfi,"Humbert Jean Joseph Fréderic Ricolfi naît le 18 juin 1868 à Contes (Alpes-Maritimes). Il est le fils de Paul Ricolfi et de Delphine Allardi. Après la guerre, il reprend la place importante que son père occupait dans la fabrication des plaques photographiques et de papier photographique et continue à commercialiser des produits fabriqués à base de gélatine.",Ai,Wikipedia,French,Continue,gemini-pro,0
Breuillet (Charente-Maritime),"La ville est le cadre depuis 2010 d’un festival de musique country, le Seaside Country’s US Days, organisé au début du mois de septembre par l’association Seaside Country Danse. S’étendant sur deux jours, il s’articule autour de la culture américaine à travers des concerts gratuits, des initiations à la danse en ligne, à la zumba ou encore au quad.",Ai,Wikipedia,French,Continue,gemini-pro,0
Carnaval de Guadeloupe,"Vaval (diminutif créole de Carnaval) est le roi du carnaval. Il symbolise et incarne tous les problèmes de l'année écoulée. Il défile le dimanche gras. Il meurt le mercredi des cendres devant la maison de sa veuve, Vavaline, qui pleure sa mort. Le public crie alors « Vaval mouri ! » (« Vaval est mort ! »).",Ai,Wikipedia,French,Continue,gemini-pro,0
Alimentation,"Les troubles du comportement ou des conduites alimentaires (TCA) se définissent par une relation « anormale » à l'alimentation. Ces troubles sont variés et peuvent prendre des formes très différentes, allant de l'anorexie mentale à la boulimie nerveuse, en passant par l'hyperphagie boulimique. Les TCA touchent principalement les adolescentes et les jeunes femmes, mais peuvent également concerner les hommes et les enfants. Les causes de ces troubles sont multiples et complexes, impliquant des facteurs biologiques, psychologiques et sociaux.",Ai,Wikipedia,French,Continue,gemini-pro,0
Vitry-sur-Seine,"À la fin du XVe siècle, Vitry-sur-Seine est divisée en deux paroisses, celle de Saint-Gervais-et-Saint-Protais et celle de Saint-Germain. Le village compte alors entre deux et trois mille habitants. Le château de Vitry, construit au XIIe siècle, est un fief important pour les comtes de Champagne. Il est assiégé et pris plusieurs fois au cours des guerres médiévales.",Ai,Wikipedia,French,Continue,gemini-pro,0
George Everest,"Il est en grande partie responsable de la triangulation des Indes, entamée cependant par William Lambton en 1806, une tâche qui dura plusieurs décennies. Cette triangulation a permis de déterminer la position exacte de centaines de points répartis sur le continent indien, et donc de produire une carte précise de l'Inde. Everest a également été le premier à mesurer l'altitude du mont Everest, qu'il a baptisé ""Peak XV"" en 1847. Cette mesure a été reprise par le géodésien indien Radhanath Sikdar en 1852, et le nom ""Everest"" a été officiellement adopté en 1865.",Ai,Wikipedia,French,Continue,gemini-pro,0
Les Avanchets,"En matière de transport individuel, la cité connaît depuis plusieurs années d'importants problèmes de stationnement (il n'y a que 150 places publiques pour 5 500 résidents en plus des places en sous-sol et des places réservées aux commerces et administrations). Des initiatives visant à introduire des zones bleues et des parcmètres ont échoué, faute de consensus politique. Les habitants sont donc contraints de stationner leur véhicule dans les rues adjacentes, ce qui occasionne des nuisances pour les riverains.",Ai,Wikipedia,French,Continue,gemini-pro,0
Lenk im Simmental,"La commune de La Lenk est dotée d'un exécutif, le Conseil communal (""Gemeinderat""). Les sept membres de cet organe sont élus selon un mode de scrutin majoritaire. Le législatif est une Assemblée communale (""Gemeindeversammlung"") à laquelle participe l'ensemble des citoyens ayant le droit de vote. Celle-ci se réunit plusieurs fois par an pour prendre les décisions les plus importantes concernant la commune.",Ai,Wikipedia,French,Continue,gemini-pro,0
Thrombocyte,"Ce sont les plus petits éléments figurés du sang. Les thrombocytes ne sont pas des cellules à proprement parler ; il s'agit de fragments cellulaires formés à partir d'un précurseur plurinucléé, le mégacaryocyte, dont le cytoplasme se fragmente en milliers de plaquettes.  Elles sont donc anucléées et ont une forme discoïde. Leur diamètre varie entre 2 et 4 µm. Elles possèdent de nombreux granules qui contiennent des facteurs de coagulation et des facteurs de croissance.",Ai,Wikipedia,French,Continue,gemini-pro,0
Bene Gesserit,"Une Sœur est en mesure de déterminer dans quelle direction va le cours des pensées de son interlocuteur, de connaître son état, ses motivations et ses faiblesses. Elle peut aussi influencer ces pensées, le manipuler et le contrôler. Les Soeurs utilisent leurs pouvoirs pour manipuler les événements politiques et sociaux, et pour façonner le destin de l'humanité.",Ai,Wikipedia,French,Continue,gemini-pro,0
