title,text,write_by,language,domain,method,LLM_model,label
راهپیمایی جهانی برای فشار بر برمه,"10 دسامبر 2005 - تهران-ایرنا-در حالی که روز جمعه 9 دسامبر 2005 (۱۰ آذرماه) مردم ایران با برپایی تظاهرات در سراسر کشور به مناسبت روز جهانی مبارزه با ایدز، به این بیماری مهلک حمله کردند، امروز شنبه 10 دسامبر 2005 (۱۱ آذرماه) همبستگی جهانی علیه ایدز با شعار ""یک جهان برای یک راه"" در سراسر جهان آغاز شد.",Ai,Persian,BBC,Continue,universitytehran/PersianMind-v1.0,0
واکنش‌ منفی رسانه‌های اسرائیل به تلاش‌های دیپلماتیک جان کری,1000 کشته شدگان حمله هوایی به غزه در سال 2008 میلادی.,Ai,Persian,BBC,Continue,universitytehran/PersianMind-v1.0,0
بازداشت خبرنگار الجزیره در مصر,1- هویدا طه متولی خبرنگار الجزیره بود. 2- او در حین سفر به قطر بازداشت شد. 3- در چمدان وی 50 نوار ویدیویی از فعالیت‌های ضد امنیتی کشف شد. 4- دولت مصر این نوارها را به عنوان مدرکی برای اثبات حمایت از تروریسم معرفی کرد. 5- هویدا طه متولی در سال 2013 به اتهام تلاش برای ترور رئیس جمهور حسنی مبارک دستگیر شد. 6- وی در سال 2014 آزاد شد اما دوباره در سال 2017 بازداشت شد. 7- دولت مصر در سال 2018 به دنبال انتشار ویدئو,Ai,Persian,BBC,Continue,universitytehran/PersianMind-v1.0,0
انتقاد اردوغان از تحرکات روسیه در شرق اوکراین, اردوغان گفت که ترکیه از اوکراین حمایت می‌کند و این کشور به دنبال ایجاد ثبات و امنیت در منطقه است. اردوغان همچنین گفت که ترکیه از تلاش‌های روسیه برای مداخله در امور داخلی اوکراین حمایت نمی‌کند. اردوغان همچنین گفت که ترکیه از تلاش‌های روسیه برای مداخله در امور داخلی اوکراین حمایت نمی‌کند. اردوغان همچنین گفت که ترکیه از تلاش‌های روسیه برای مداخله در امور داخلی اوکراین حمایت نمی‌کند. اردوغان همچنین گفت که ترکیه از تلاش‌های روسیه برای مداخله در امور داخلی اوکراین حمایت نمی‌کند. اردوغان همچنین گفت که ترکیه از تلاش‌های روسیه برای مداخله در امور داخلی اوکراین حمایت نمی‌کند. اردوغان همچنین گفت که ترکیه,Ai,Persian,BBC,Continue,universitytehran/PersianMind-v1.0,0
گروگانگیری فرزندان افسر ارشد پلیس عراق,​​به گفته منابع پلیس عراق، مردان مسلح به منزل سرهنگ علی الجورانی، فرمانده واحد عملیات اضطراری پلیس شهر کنعان در استان دیاله حمله کردند و پس از کشتن همسر وی، او را نیز به قتل رساندند. این حادثه روز جمعه، 8 ژوئن رخ داد.,Ai,Persian,BBC,Continue,universitytehran/PersianMind-v1.0,0
اعدام نوید افکاری؛ درخواست برخی چهره‌های حقوقی و ورزشی برای تحریم ورزش ایران,22 شهریورماه امسال، در حالی که بسیاری از مردم ایران به دنبال آرامش بودند، خبرها حاکی از آن بود که یک کشتی گیر جوان ایرانی با نام محمد رضایی به دلیل اعتراض به تحریم ورزش ایران مورد تهدید قرار گرفته است. این تهدیدها از سوی افرادی صورت می‌گرفت که به گفته خودشان نماینده نهادهای حقوق بشری هستند. محمد رضایی که به تازگی به تیم ملی کشتی ایران پیوسته بود، به دلیل اعتراض به تحریم ورزش ایران مورد تهدید قرار گرفت. این تهدیدها از سوی افرادی صورت می‌گرفت که به گفته خودشان نماینده نهادهای حقوق بشری هستند. محمد رضایی که به تازگی به تیم ملی کشتی ایران پیوسته بود، به دلیل اعتراض به تحریم ورزش ایران مورد,Ai,Persian,BBC,Continue,universitytehran/PersianMind-v1.0,0
خشونت در اوکراین؛ آمریکا گزینه تحریم را در نظر دارد,10 روز پس از آغاز تظاهرات ضد دولتی در اوکراین، دولت این کشور روز جمعه (23 خرداد ماه) به دنبال تشدید تنش‌ها و درگیری‌های خیابانی، تصمیم گرفت تا به منظور حفظ امنیت و جلوگیری از وخامت اوضاع، قانون منع تجمع عمومی را به اجرا بگذارد. این تصمیم که با مخالفت شدید معترضان روبرو شد، موجب شد تا معترضان به طور گسترده‌ای به خیابان‌ها بیایند و با پلیس درگیر شوند. در جریان این درگیری‌ها، معترضان به ضرب گلوله پلیس کشته شدند و بسیاری دیگر نیز زخمی شدند. این حوادث در حالی رخ داد که آمریکا نیز در حال بررسی گزینه‌های مختلف برای اعمال فشار بر دولت اوکراین است.,Ai,Persian,BBC,Continue,universitytehran/PersianMind-v1.0,0
خشم ايران از ادامه بازداشت خبرنگاران ايرانی,‌در تاریخ 23 دسامبر ۲۰۱۷، وزارت خارجه ایالات متحده آمریکا با صدور بیانیه‌ای اعلام کرد که ایران به طور قطع و صریح به بازداشت و شکنجه زندانیان سیاسی و عقیدتی در زندان‌های ایران ادامه می‌دهد. این بیانیه همچنین مدعی شد که ایران به طور مشخص به بازداشت و شکنجه زندانیان سیاسی و عقیدتی در زندان‌های ایران ادامه می‌دهد. این بیانیه همچنین مدعی شد که ایران به طور خاص به بازداشت و شکنجه زندانیان سیاسی و عقیدتی در زندان‌های ایران ادامه می‌دهد. این بیانیه همچنین مدعی شد که ایران به طور خاص به بازداشت و شکنجه زندانیان سیاسی و عقیدتی در زندان‌های,Ai,Persian,BBC,Continue,universitytehran/PersianMind-v1.0,0
شبکه العالم حذف کانال یوتیوب خود را 'غیرحرفه‌ای' خواند," شبکه العالم، یک خبرگزاری انگلیسی زبان مستقر در لندن است که به طور گسترده ای توسط دولت ایران مورد انتقاد قرار گرفته است. این شبکه در سال 2013 با انتشار ویدئویی از یک زن ایرانی که در حال رقصیدن بود، جنجال بزرگی به راه انداخت. این ویدئو که به نام رقص رقصنده معروف شد، باعث شد تا بسیاری از مردم ایران از طریق توییتر و فیس بوک اعتراض کنند. این اعتراض ها منجر به حذف کانال یوتیوب شبکه العالم شد. گوگل که مالک یوتیوب است روز گذشته گفت حساب‌هایی را که از جانب حکومت ایران مطالب ""نادرست"" در اینترنت منتشر کرده اند، مسدود کرده است. این اقدام گوگل واکنش های زیادی",Ai,Persian,BBC,Continue,universitytehran/PersianMind-v1.0,0
پيروزی ايران و شکست سنگین لیورپول,‌تیم ملی ایران در دومین بازی خود در جام امارات مقابل تیم فوتبال اشتوتگارت آلمان به برتری دست یافت. این پیروزی در حالی حاصل شد که تیم ملی ایران در دیدار اول خود در این رقابت ها مقابل تیم ملی عراق شکست خورد. این برد برای تیم ملی ایران در این رقابت ها بسیار حائز اهمیت است زیرا این تیم در صورت پیروزی در دو بازی بعدی خود به مرحله حذفی خواهد رسید. این پیروزی همچنین باعث شد تا تیم ملی ایران به صدر جدول گروه ب صعود کند.,Ai,Persian,BBC,Continue,universitytehran/PersianMind-v1.0,0
