title,text,write_by,domain,language,method,LLM_model,label
Humbert Ricolfi,"Humbert Ricolfi était un homme politique français qui a joué un rôle important dans la vie politique de la France au XIXe siècle. Il a été élu député de la circonscription de Nice en 1881 et a occupé ce poste pendant plusieurs années. Ricolfi était membre du Parti Radical, et était connu pour ses idées progressistes et son engagement en faveur de la justice sociale. Il a également été maire de Contes pendant plusieurs mandats. Humbert Ricolfi était un homme respecté et aimé de ses concitoyens pour son dévouement à la cause publique et",Ai,Wikipedia,French,Continue,gpt-3.5-turbo-0125,0
Breuillet (Charente-Maritime),"country américaine, avec des concerts, des démonstrations de danse et des stands de nourriture typiquement américaine. Cet événement attire des visiteurs de toute la région, contribuant ainsi à la renommée de Breuillet. La ville est également connue pour son patrimoine architectural, avec des bâtiments anciens bien conservés et une atmosphère pittoresque. La proximité de la mer et de la campagne offre aux habitants et aux visiteurs un cadre de vie agréable, propice à la détente et à la découverte. Breuillet est une destination idéale",Ai,Wikipedia,French,Continue,gpt-3.5-turbo-0125,0
Carnaval de Guadeloupe,"Vaval (diminutif créole de Carnaval) est le roi du carnaval. Il symbolise et incarne tous les problèmes de l'année écoulée. Il défile dans les rues de Guadeloupe, suivi de groupes de musiciens, danseurs et des personnages traditionnels tels que les diables rouges et les neg'marrons. Les festivités du Carnaval de Guadeloupe durent plusieurs semaines, avec des défilés, des concours de costumes et des soirées animées. Les participants rivalisent d'ingéniosité pour créer des tenues color",Ai,Wikipedia,French,Continue,gpt-3.5-turbo-0125,0
Alimentation,"grave la santé d'une personne. Parmi les principales formes de TCA on retrouve l'anorexie, la boulimie et l'hyperphagie. Ces troubles peuvent avoir des conséquences physiques et psychologiques importantes, nécessitant une prise en charge médicale et thérapeutique. Il est essentiel de sensibiliser et d'informer sur ces problématiques pour favoriser la prévention et le dépistage précoce. Une alimentation équilibrée et adaptée aux besoins individuels est fondamentale pour maintenir une bonne santé physique et mentale.",Ai,Wikipedia,French,Continue,gpt-3.5-turbo-0125,0
Vitry-sur-Seine,"Le village se développe à partir du Moyen Âge, avec la construction de plusieurs églises et châteaux. Au fil des siècles, Vitry-sur-Seine devient un important centre économique grâce à ses activités agricoles et artisanales. Au , la ville se transforme en une commune industrielle, accueillant de nombreuses usines et entreprises. Aujourd'hui, Vitry-sur-Seine est une ville dynamique, avec une vie culturelle riche et de nombreux espaces verts pour les habitants à profiter. La ville est également connue pour son street art et ses nombreuses œuvres d'art",Ai,Wikipedia,French,Continue,gpt-3.5-turbo-0125,0
George Everest,"années avant d'être complétée par George Everest à partir de 1830. Everest était un géomètre et cartographe britannique de renom, connu pour sa contribution majeure à la cartographie de l'Inde. Il a également donné son nom au mont Everest, le plus haut sommet de la planète, situé dans la chaîne de l'Himalaya. Sa précision et son expertise dans le domaine de la topographie ont grandement influencé la manière dont les cartes sont conçues et utilisées dans le monde entier.",Ai,Wikipedia,French,Continue,gpt-3.5-turbo-0125,0
Les Avanchets,"personnes à mobilité réduite). Cependant, la ville a récemment mis en place un plan de mobilité durable pour encourager l'utilisation des transports en commun et des modes de déplacement doux comme le vélo. Les Avanchets bénéficient également d'un accès facilité aux transports en commun, avec plusieurs lignes de bus et de tramway desservant le quartier. En outre, la proximité de la gare de Cornavin permet aux habitants de se déplacer facilement dans toute la région. Ces initiatives visent à réduire la dépendance à la voiture et à promouvoir un mode de",Ai,Wikipedia,French,Continue,gpt-3.5-turbo-0125,0
Lenk im Simmental,"Le législatif est une Assemblée communale, composée de 25 membres élus au suffrage universel pour un mandat de quatre ans. La Lenk est une ville pittoresque et charmante située dans la vallée de Simmental en Suisse. Elle est réputée pour ses paysages magnifiques, ses activités de plein air comme le ski et la randonnée, ainsi que pour ses sources thermales naturelles. La ville accueille également de nombreux événements culturels et festivals tout au long de l'année, attirant ainsi de nombreux visiteurs. La Lenk est une destination id",Ai,Wikipedia,French,Continue,gpt-3.5-turbo-0125,0
Thrombocyte,"Ce sont les plus petits éléments figurés du sang. Les thrombocytes ne sont pas des cellules à proprement parler; il s'agit de fragments cellulaires formés à partir d'un précurseur plurinucléé, le mégacaryocyte, présent dans la moelle osseuse. La fonction principale des thrombocytes est d'assurer la coagulation du sang en formant un caillot pour arrêter les saignements. Ils jouent également un rôle essentiel dans le processus de cicatrisation des plaies. Les thrombocytes sont produits en grande quantité en cas de blessure",Ai,Wikipedia,French,Continue,gpt-3.5-turbo-0125,0
Bene Gesserit,"et même d'influencer subtilement ses actions. Les Sœurs sont formées depuis un jeune âge pour développer leurs capacités mentales et physiques au maximum de leur potentiel. Leur sérénité, leur maîtrise de soi et leur perspicacité en font des conseillères très prisées dans les cercles politiques les plus influents de l'univers de Dune. Les Sœurs de la Bene Gesserit ont également une connaissance approfondie des arts martiaux et des techniques de combat, ce qui en fait des adversaires redoutables en cas de besoin.",Ai,Wikipedia,French,Continue,gpt-3.5-turbo-0125,0
Tux-zillertal," adaptation au climat rude et sa résistance naturelle aux maladies. Le Tux-zillertal est principalement élevée pour sa viande savoureuse et son lait de grande qualité, utilisé pour la fabrication de fromages renommés tels que le Speckkäse. Sa robe noire lui confère un aspect majestueux et imposant, parfait pour les concours de bétail. Réputée pour sa robustesse et sa rusticité, cette race est très prisée des éleveurs de montagne pour sa capacité à prospérer dans des conditions difficiles.",Ai,Wikipedia,French,Continue,gpt-3.5-turbo-0125,0
Adolfo Pérez Esquivel,"En 1997, il a lancé l'« Appel des prix Nobel de la paix pour les enfants du monde », adressé aux Nations unies, qui ont déclaré l’année 2000 « Année internationale de la culture de la paix ». Adolfo Pérez Esquivel est un militant argentin des droits de l'homme et un artiste pacifiste, lauréat du prix Nobel de la paix en 1980. Il est connu pour son engagement en faveur de la non-violence et de la justice sociale, notamment à travers son travail en faveur des populations autochtones et des vict",Ai,Wikipedia,French,Continue,gpt-3.5-turbo-0125,0
Queensland Reds,"Plus difficile pour les Queensland Reds. Malgré de bons débuts, l'équipe a connu des difficultés et n'a pas réussi à se qualifier pour les phases finales. Cependant, ils ont rebondi l'année suivante en remportant le Super 14 2011, leur premier titre depuis 1995. Avec des joueurs talentueux tels que Quade Cooper et Will Genia, les Reds sont devenus une force redoutable sur la scène du rugby australien. Ils ont continué à être des concurrents sérieux dans les années suivantes, visant à ajouter d'autres trophées à",Ai,Wikipedia,French,Continue,gpt-3.5-turbo-0125,0
Transport ferroviaire en France,"Dans le cadre du développement du réseau TGV, le réseau ferroviaire français a vu depuis une trentaine d'années la naissance d'un réseau de lignes à grande vitesse (LGV) spécialement conçues pour la circulation des trains à grande vitesse. Ces lignes permettent de relier rapidement les grandes villes françaises entre elles, offrant ainsi une alternative rapide et confortable à d'autres moyens de transport. Grâce à ces LGV, la France s'est positionnée en tant que pionnière dans le domaine du transport ferroviaire à grande vitesse en Europe, permettant ainsi de réduire",Ai,Wikipedia,French,Continue,gpt-3.5-turbo-0125,0
Dafydd ab Owain Gwynedd,"Dafydd était le fils d'Owain Gwynedd et de Cristin verch Goronwy. Comme Owain et Cristin étaient cousins au premier degré, leur mariage ne fut pas accepté par l'Église. Malgré cela, Dafydd était un personnage influent au Pays de Galles au XIIe siècle. Il a tenté de revendiquer le trône de Gwynedd à la mort de son père, mais a été défié par ses frères cadets. Finalement, il a été capturé par les troupes de son frère Llywelyn le Grand et",Ai,Wikipedia,French,Continue,gpt-3.5-turbo-0125,0
Âge d'or des comics,"a longtemps exercé une forte influence sur la censure des bandes dessinées. Malgré cela, la popularité des comics continuait de croître dans d'autres pays européens, tels que la France, la Grande-Bretagne et la Suisse, où ils étaient largement appréciés. Cette période, souvent appelée l'Âge d'or des comics, marque un tournant dans l'histoire de la bande dessinée, avec la naissance de super-héros emblématiques tels que Superman, Batman et Wonder Woman. Ces personnages mythiques ont contribué à façonner la culture populaire du XX",Ai,Wikipedia,French,Continue,gpt-3.5-turbo-0125,0
Oprah Winfrey," ressources essentielles aux communautés défavorisées. En outre, Oprah Winfrey est également connue pour son engagement envers l'éducation des jeunes, notamment à travers son école pour filles en Afrique du Sud, l'École d'oprah Winfrey Leadership Academy for Girls. En tant qu'animatrice de télévision, productrice de cinéma et philanthrope renommée, Oprah Winfrey a reçu de nombreux prix prestigieux pour son influence positive sur la société et sa contribution exceptionnelle à des causes humanitaires. Elle est une icône mondiale, inspirant des millions de personnes à travers le monde",Ai,Wikipedia,French,Continue,gpt-3.5-turbo-0125,0
District de Xuanhua,"Xuanhua abrite une histoire riche et variée, en tant que district de la province du Hebei en Chine. Connue pour ses mines de charbon et pour être un important centre industriel, la région a été le théâtre de nombreux événements historiques. Son paysage est dominé par des collines et des vallées pittoresques, offrant aux visiteurs une vue magnifique sur la campagne chinoise. Xuanhua est également réputée pour sa culture traditionnelle, ses temples anciens et ses festivals colorés. La ville attire chaque année de nombreux touristes en quête d'authenticité et",Ai,Wikipedia,French,Continue,gpt-3.5-turbo-0125,0
Utilité (économie),"L'utilité en économie se réfère à la satisfaction ou au plaisir qu'un individu tire de la consommation de biens et de services. On construit donc ainsi une fonction mathématique ""U"", allant de l'espace des biens dans les réels, telle que U(A) > U(B) implique que le panier ""A"" est préféré au panier ""B"". Cette approche permet aux économistes d'analyser les choix des consommateurs en fonction de leurs préférences et de leurs contraintes budgétaires. En somme, l'utilité joue un rôle central",Ai,Wikipedia,French,Continue,gpt-3.5-turbo-0125,0
CSKA Moscou (basket-ball),"époque, l'équipe est composée de grands joueurs tels que Sergei Belov et Anatoly Myshkin, qui ont marqué l'histoire du basket-ball russe. Le CSKA Moscou continue de dominer le championnat national et européen dans les années suivantes, remportant de nombreux titres et consolidant sa réputation de grande équipe de basket-ball. Malgré des périodes de difficulté au cours des décennies suivantes, le CSKA reste l'un des clubs les plus titrés de Russie et d'Europe, avec une base de fans fidèles et passionnés qui soutiennent l'équipe à chaque",Ai,Wikipedia,French,Continue,gpt-3.5-turbo-0125,0
Front populaire (France)," populaire ne signifie pas la fin de l'influence des partis socialistes et communistes en France. Après la guerre, de nombreux membres du Front populaire ont continué à jouer un rôle majeur dans la politique française, notamment dans la mise en place de la Sécurité sociale et d'autres réformes sociales importantes. Bien que le Front populaire lui-même n'ait pas survécu à la guerre, son héritage a perduré dans les politiques sociales et économiques de la France d'après-guerre.",Ai,Wikipedia,French,Continue,gpt-3.5-turbo-0125,0
Lapalud," de l'autoroute A7, des vestiges ont été découverts, témoignant de la présence humaine dès la préhistoire. La commune de Lapalud, située dans le département de Vaucluse en France, a une histoire riche et des traditions anciennes. Avec ses paysages pittoresques et ses monuments historiques, Lapalud attire de nombreux visiteurs chaque année. Aujourd'hui, la ville est connue pour son patrimoine culturel et ses festivals annuels qui célèbrent la gastronomie locale et les traditions provençales.",Ai,Wikipedia,French,Continue,gpt-3.5-turbo-0125,0
Billard,"et la précision du mouvement. Il est essentiel de maîtriser cette technique pour réussir à exécuter les différentes manoeuvres du billard, telles que les coups de masse, les coups rétros et les coups de pointe. De plus, il est indispensable d'avoir une bonne posture et un bon équilibre pour assurer la fluidité du geste et la précision de la visée. L'entraînement régulier est également crucial pour perfectionner ses compétences et devenir un joueur confirmé de billard.",Ai,Wikipedia,French,Continue,gpt-3.5-turbo-0125,0
Saint-Nicolas-aux-Bois,"L'occupation des sols de la commune, telle qu'elle ressort de la base de données européenne d’occupation biophysique des sols Corine Land, montre une diversité remarquable. En effet, Saint-Nicolas-aux-Bois est principalement composée de terres agricoles, de forêts et de zones naturelles. Les champs de cultures céréalières et les prairies occupent une grande partie du territoire, tandis que les massifs forestiers offrent un refuge pour une faune et une flore riches en biodiversité. Les rivières et les étangs complètent",Ai,Wikipedia,French,Continue,gpt-3.5-turbo-0125,0
Norvège,"Dans les autres langues de la Norvège, le nom du pays est écrit « ""Norga"" » (same du Nord), « ""Vuodna"" » (same de Lule), et « ""Nhørje"" » (same du Sud). La Norvège est un pays d'Europe du Nord situé en Scandinavie. Sa capitale est Oslo, et ses principales villes sont Bergen, Stavanger et Trondheim. La Norvège est connue pour ses fjords époustouflants, ses aurores boréales et sa riche histoire viking. Le pays est également réputé pour sa qualité de vie élev",Ai,Wikipedia,French,Continue,gpt-3.5-turbo-0125,0
John McTiernan,"d'action intitulé ""À la poursuite d'Octobre rouge"". Le film est un succès critique et commercial, renforçant la réputation de McTiernan en tant que réalisateur de films d'action de premier plan. Par la suite, il réalise ""Last Action Hero"" en 1993 et ""Au revoir à jamais"" en 1996, deux films qui suscitent des réactions mitigées mais qui montrent la diversité de son talent. Malheureusement, sa carrière est entachée par des problèmes juridiques et il est condamné en 2010 pour parjure et obstruction à la justice dans le",Ai,Wikipedia,French,Continue,gpt-3.5-turbo-0125,0
Antonello de Messine,"Le peintre est revenu à Messine en 1476 pour se consacrer à des œuvres profanes, comme le célèbre portrait du ""Condottiere"", qui lui a valu une renommée internationale. Son style novateur, mêlant les influences flamandes et italiennes, a marqué durablement l'art de la Renaissance en Sicile. Antonello de Messine est également connu pour son utilisation de la technique de la peinture à l'huile, importée des Pays-Bas, qui lui a permis d'obtenir des effets de lumière et de profondeur inéd",Ai,Wikipedia,French,Continue,gpt-3.5-turbo-0125,0
Cabriès,"La gare de Simiane et la gare d'Aix-en-Provence TGV. Cabriès est une charmante commune située dans le département des Bouches-du-Rhône, en région Provence-Alpes-Côte d'Azur. Elle est connue pour son château médiéval et son patrimoine historique bien préservé. La ville offre également de magnifiques paysages naturels, parfaits pour les randonnées et les balades en plein air. Cabriès est un lieu idéal pour les amoureux de la nature et de la culture, offrant une escapade paisible et",Ai,Wikipedia,French,Continue,gpt-3.5-turbo-0125,0
Afro-Américains,"Selon l'American Community Survey pour la période 2013-2018, 91,06 % de la population afro-américaine âgée de plus de 5 ans déclare parler l'anglais à la maison, 2,8 % déclare parler l'espagnol, 1,82 % le créole haïtien, 0,83 % le français, et 0,51 % une autre langue indo-européenne. Ces chiffres reflètent la diversité linguistique présente au sein de la communauté afro-américaine aux États-Unis. L'anglais reste",Ai,Wikipedia,French,Continue,gpt-3.5-turbo-0125,0
Forest Yeo-Thomas,"des renseignements cruciaux sur les mouvements des troupes allemandes. Yeo-Thomas, un agent secret britannique pendant la Seconde Guerre mondiale, était connu pour son courage et son dévouement à la cause alliée. Malgré les dangers constants, il n'a jamais hésité à risquer sa vie pour recueillir des informations vitales. Sa contribution à la résistance française et à la lutte contre l'occupation nazie a été inestimable. Yeo-Thomas est resté un véritable héros de la guerre, dont la bravoure et la détermination sont restées grav",Ai,Wikipedia,French,Continue,gpt-3.5-turbo-0125,0
Sabot (chaussure),"jours. Pendant ce temps, la forme du sabot est régulièrement contrôlée afin de garantir sa solidité et son confort. Une fois la période de séchage terminée, le sabot passe par une phase de finition où les détails sont peaufinés et les éventuelles imperfections sont corrigées. Enfin, le sabot est prêt à être porté et à offrir à son propriétaire tout le charme intemporel et l'élégance rustique que seul ce type de chaussure peut apporter.",Ai,Wikipedia,French,Continue,gpt-3.5-turbo-0125,0
Courgenay (Yonne),"de la cathédrale de Chartres). L'église du village est dédiée à sainte Marie-Madeleine. Au fil des siècles, Courgenay devient un lieu de pèlerinage important, attirant de nombreux fidèles à la recherche de miracles attribués à la sainte. Aujourd'hui, le village est surtout connu pour son patrimoine historique et ses paysages pittoresques, offrant aux visiteurs une escapade paisible dans la campagne bourguignonne. Courgenay continue de célébrer ses traditions et son histoire à travers des événements culturels et des festiv",Ai,Wikipedia,French,Continue,gpt-3.5-turbo-0125,0
Canberra Raiders,"Stadium. Les Raiders ont connu leur période la plus réussie dans les années 1990, remportant trois titres de la NRL en 1989, 1990 et 1994. L'équipe est réputée pour son style de jeu physique et rapide, attirant de nombreux fans à travers l'Australie. Les couleurs principales du club sont le vert, le blanc et le jaune, reflétant le drapeau de Canberra. Les Canberra Raiders ont une forte rivalité avec les Sydney Roosters et les Manly Sea Eagles, des affrontements qui sont toujours très attendus par les supporters.",Ai,Wikipedia,French,Continue,gpt-3.5-turbo-0125,0
Ligne 3 bis du métro de Paris,"Les travaux de prolongement de la ligne 3 bis du métro de Paris vers Bagnolet ont commencé en 2020 et ont finalement été achevés en 2023. La nouvelle station ""Gambetta"" a été mise en service le 15 septembre 2023, offrant ainsi une correspondance avec la ligne 3. La ligne 3 bis a quant à elle été débranchée le 18 septembre 2023 pour permettre la connexion avec la ligne 3 à Gambetta. Le prolongement jusqu'à Bagnolet a été très bien accueilli par les habitants de la région, facilitant ainsi les déplacements dans l'est",Ai,Wikipedia,French,Continue,gpt-3.5-turbo-0125,0
Jerry Stiller,"Jerry Stiller est né le 8 juin 1927 à Brooklyn, New York. Aîné des quatre enfants de William Stiller (1896-1999), conducteur de bus, et de son épouse Bella Stiller (née Citrin) (1902-1954), Jerry a suivi les traces de son père en devenant un acteur comique renommé. Il est surtout connu pour son rôle de Frank Costanza dans la série télévisée à succès Seinfeld. En plus de sa carrière d'acteur, Jerry Stiller était également un écrivain et un comédien de stand-up talentueux",Ai,Wikipedia,French,Continue,gpt-3.5-turbo-0125,0
Lucile Desmoulins,"Évelyne Dhenry-Corrout raconte l'histoire de Lucile Desmoulins dans son livre ""Lucile Desmoulins, l'ange et la mante religieuse"". Elle décrit une femme à la fois passionnée et manipulatrice, dont le destin fut intimement lié à celui de son mari, Camille Desmoulins. Lucile était une figure controversée de la Révolution française, jouant un rôle ambigu entre soutenir les idées révolutionnaires et rechercher la sécurité de sa famille. Sa fin tragique sur l'échafaud en 1794 reste un symbole de la violence politique",Ai,Wikipedia,French,Continue,gpt-3.5-turbo-0125,0
