Train on,Test on,Test on
English (gemini-pro),French (gemini-pro),Spanish (gemini-pro)
English (gpt-3.5-turbo-0125),French (gpt-3.5-turbo-0125),Spanish (gpt-3.5-turbo-0125)
English (mistral-7b),French (mistral-7b),Spanish (mistral-7b)
French (gemini-pro),English (gemini-pro),Spanish (gemini-pro)
French (gpt-3.5-turbo-0125),English (gpt-3.5-turbo-0125),Spanish (gpt-3.5-turbo-0125)
French (mistral-7b),English (mistral-7b),Spanish (mistral-7b)
Spanish (gemini-pro),English (gemini-pro),French (gemini-pro)
Spanish (gpt-3.5-turbo-0125),English (gpt-3.5-turbo-0125),French (gpt-3.5-turbo-0125)
Spanish (mistral-7b),English (mistral-7b),French (mistral-7b)
