title,text,write_by,language,domain,method,LLM_model,label
آمادگی نیروهای مسلح اوکراین برای عملیات تمام عیار علیه جدایی‌طلبان شرق کشور,هواداران روسیه در برخی شهرهای شرق اوکراین کنترل ساختمان‌های دولتی را در دست دارند شرق اوکراین صحنه موج جدایی طلبی است و معترضان مسلح در چند شهر این منطقه ساختمان‌های دولتی و پاسگاه‌های پلیس را تحت کنترل دارند. رئیس جمهور دولت موقت اوکراین گفت کیف اجازه نخواهد داد آنچه در کریمه اتفاق افتاد دوباره تکرار شود. کمتر از یک ماه پیش دولت محلی شبه‌جزیر کریمه رفراندومی برگزار کرد که در آن رای دهندگان با اکثریت قاطع از جدایی از اوکراین و پیوستن به روسیه پشتیبانی کردند. دولت موقت,Human,Persian,BBC,,,1
فیلمبردار مجار که به مهاجران لگد زده بود محکوم شد,پترا لازلو به مردی که کودکی در بغل دارد، پشت پا می‌زند پترا لازلو سپتامبر ۲۰۱۵ از پناهندگان به هنگام عبور از دیوار امنیتی ایجاد شده فیلمبرداری می‌کرد. در این ویدیو این زن به دو نفر که در حال فرار هستند و یکی از آن ها یک دختر جوان است، لگد می‌زند. پترا لازلو همچنین برای مردی که کودکی در بغل دارد، پشت پا می‌گیرد. او می گوید از این حکم به دادگاه تجدید نظر شکایت خواهد کرد.,Human,Persian,BBC,,,1
مناظره‌های انتخاباتی پرده از واقعیت‌ها برمی‌دارند یا بر آنها سرپوش می‌گذارند؟,"همان طور که دبیران وب‌سایت ""تاریخ"" در مقالۀ ""مناظره‌های کندی-نیکسون"" به ما یادآوری می‌کنند، این مناظره در بحبوحۀ جنگ سرد و در زمانی رخ داد که نه تنها اتحاد جماهیر شوروی با پرتاب ماهوارۀ اسپوتنیک در رقابت فضایی از آمریکا سبقت گرفته بود بلکه به قدرت رسیدن فیدل کاسترو در کوبا نیز به هراس از گسترش کمونیسم در غرب دامن زده بود. افزون بر",Human,Persian,BBC,,,1
'کابوس پورن انتقامی همچنان با من است',زارا مک درموت زارا مک‌درموت، ستاره بریتانیایی تلویزیون واقع‌نما، درباره دوره‌ای از زندگیش حرف می‌زند که به شکل ویژه‌ای ناراحت‌کننده بود - وقتی ۱۴ سال داشت توسط یکی از پسرهای مدرسه تحت فشار قرار گرفته بود تا عکس‌های خصوصی خود را برایش بفرستد. دوران مدرسه خیلی برای زارا خوش نبود. بچه‌ها او را اذیت می‌کردند و از آنجایی که تنها بود فکر می‌کرد که شاید اگر آن پسر دوستش داشته باشد جایگاه اجتماعیش در بین بچه‌های کلاس بالاتر خواهد رفت. اما آن پسر عکس‌ها را در مدرسه پخش کرد و وضع فقط,Human,Persian,BBC,,,1
چرا زنها بیشتر از مردها عمر می‌کنند؟,چرا زنها بیشتر از مردها عمر می‌کنند؟ این سه کشور استثنایی عبارتند از کویت، جمهوری کنگو و موریتانی. تحقیق بنیاد ارزیابی و نگارش سلامت در سال ۲۰۱۶ که نتایجش در اختیار بی‌بی‌سی قرار گرفته، نشان می‌دهد که امید به زندگی زنان در سراسر جهان حدود پنج سال و نیم بیشتر از مردهاست. با درنظر گرفتن آمارهای سازمان,Human,Persian,BBC,,,1
'تناقض' در کاخ‌سفید بر سر دیدار ترامپ و کیم جونگ اون,"موافقت با حضور جدی کره‌شمالی در المپیک زمستانی کره‌جنوبی نخستین روزنه برای تمایل پیونگ یانگ به مذاکره با آمریکا را گشود همزمان، مایک پنس، معاون رئیس‌جمهوری هم تاکید کرده با وجود قبول دیدار میان روسای جمهوری آمریکا و کره‌شمالی، ""تمامی گزینه‌ها علیه پیونگ‌یانگ همچنان روی میز خواهد ماند."" آقای پنس همچنین تاکید کرده که واشنگتن هیچ وعده و تضمینی به کره‌شمالی نداده است. روز جمعه (نهم مارس - ۱۸اسفند) همچنین",Human,Persian,BBC,,,1
بيانيه تهران: پيروزی يا تسليم؟,آقای روحانی، که از طرف آيت الله خامنه ای، رهبر ايران، در مذاکرات هفته گذشته با وزيران امور خارجه سه کشور اروپايی شرکت داشت گفت در اين مذاکرات به همه خواسته های خود دست يافتيم. به نظر می رسد که آقای روحانی و مقامات ديگر ايران برای ساکت کردن مخالفان داخلی خود تلاش گسترده ای را آغاز کرده اند تا به آنان نشان دهند که جمهوری اسلامی همچنان به اصول پايبند است و تسليم نشده است. آقای روحانی، که از شهرهای مختلف استان سمنان ديدن کرده است، گفت,Human,Persian,BBC,,,1
کشف شاهکار نقاشی دوره باروک، اثر یاکوب یوردانس، در ساختمان شهرداری بروکسل,"نقاشی ""خانواده مقدس"" در سال ۲۰۱۹، هنگام فهرست‌برداری از آثار فرهنگی تالار شهر سن‌ژیل، کشف شد. قبلا تصور می‌شد که این نقاشی یک کپی است. موسسه سلطنتی میراث فرهنگی بلژیک، که به کشف این نقاشی کمک کرد، گفته است که قدمت این اثر به سال‌های ۱۶۱۷ یا ۱۶۱۸ باز می‌گردد. نسخه‌های مختلف این نقاشی، که کودک عیسی را در کنار جوزف و مری و مادرش سنت‌ان به تصویرکشیده",Human,Persian,BBC,,,1
توافق اوپک پلاس؛ تلاش برای نجات نفت از بحران شیوع کرونا,آنچه روز یکشنبه به طور رسمی اعلام شد در واقع نتیجه مذاکراتی بود که اوپک و کشورهای هم‌پیمان، مشهور به«اوپک پلاس»، از روز پنچ‌شنبه ۲۱ فرودین آغاز کرده بود. اوپک پلاس شامل ۱۱ کشور عضو سازمان کشورهای صادرکننده نفت، اوپک، و ۹ صادرکننده عمده دیگر نفت از جمله روسیه است. این گروه جهت چاره‌جویی برای افت شدید قیمت نفت، تحت تاثیر شیوع ویروس کرونا، نشست ویژه‌ای برگزار کرد و مذاکرات نمایندگان کشورهای,Human,Persian,BBC,,,1
لطفا دیگر ادرار خود را ننوشید,بد نیست با آخرین مد در زمینه سلامتی آشنا شوید، یک نوشیدنی که رنگش از چای زردچوبه، زردتر است و طعمش از لیموناد ذغالی تلخ‌تر. بله، این نوشیدنی چیزی نیست جز ادرار خود شما. در حالی که به نظر می‎رسد آدم‎ها فقط وقتی در کوهستان یا صحرا گیر کرده باشند مجبور به خوردن ادرار خود می‌شوند، به تازگی عده‌ای این,Human,Persian,BBC,,,1
