title,text,write_by,language,domain,method,LLM_model,label
Esteban I (papa),"La postura rigorista respecto a los antiguos apóstatas, defendida también por los novacianos, unida a su defensa de la validez del bautismo administrado por clérigos que habían apostatado, supuso su aislamiento y la imposibilidad de reintegrarlos a la comunión eclesial. Sin embargo, su postura encontró seguidores en la Iglesia africana, donde se mantuvo durante varios siglos.",Ai,Spanish,Wikipedia,Continue,gemini-pro,0
Saint-Ex,"Saint-Ex es una película biográfica, estrenada el 17 de noviembre de 1996, acerca del escritor, aviador y aventurero francés Antoine de Saint-Exupéry y su esposa escritora, Consuelo de Saint Exupéry. Fue dirigida por Antoine de Caunes y protagonizada por Bruno Ganz como Antoine de Saint-Exupéry y Miranda Richardson como Consuelo. La película sigue la historia de la vida de Saint-Exupéry desde su infancia hasta su desaparición en 1944.",Ai,Spanish,Wikipedia,Continue,gemini-pro,0
The Crazies (película de 1973),"Lee Hessel, un productor dueño de Cambist Films y con quien Romero anteriormente trabajó en su anterior película ""There's Always Vanilla"", leyó el guion y contactó a Romero para dirigir la película. Romero, quien previamente había rechazado una oferta para dirigir otra película de bajo presupuesto, quedó impresionado con el guion de Russo y aceptó dirigir la película. El rodaje comenzó en el verano de 1972 en Evans City, Pensilvania, y se completó en solo 28 días con un presupuesto de $300,000.",Ai,Spanish,Wikipedia,Continue,gemini-pro,0
El inglés (obra de teatro),"La obra está integrada por una sucesión de textos dramatizados por Pepe Soriano y temas ejecutados por el Cuarteto Zupay, a la manera de una obra lírica. El espíritu de El inglés se acerca a las culturas indígenas de América para homenajearlas, y Soriano los evoca con poemas como ""Nación"", ""El silencio"" y ""Encuentro"". La obra invita a la reflexión sobre la identidad, la historia y la cultura de los pueblos originarios.",Ai,Spanish,Wikipedia,Continue,gemini-pro,0
Duramadre,"El extremo superior continúa sin límites netos con la duramadre craneal. Por su superficie externa, se adhiere al foramen magno y al atlas. El extremo inferior constituye el fondo de saco. En la superficie interna, la duramadre espinal presenta un tabique mediano sagital (tabique dural posterior) que se extiende desde el foramen magno hasta el cóccix.",Ai,Spanish,Wikipedia,Continue,gemini-pro,0
Renault Magnum,"Freno motor, freno de escape, ralentizadores, frenos de servicio... el Renault Magnum dispone de un sistema de frenado centralizado que gestiona el conjunto de los frenos y ofrece una seguridad excepcional con una deceleración de 7 m/s2, cuando esta deceleración pasa a 5,5 m/s2, en caso de frenado de emergencia, el sistema activa automáticamente las luces de emergencia.",Ai,Spanish,Wikipedia,Continue,gemini-pro,0
Llamado al altar," El llamado al altar es una práctica de algunas Iglesias Evangélicas que consiste en una invitación realizada por un predicador para que aquellos que deseen hacer un compromiso espiritual con Jesucristo lo manifiesten públicamente saliendo al frente, arrodillándose o levantando la mano. Esta práctica se realiza generalmente al final de un sermón o culto, y tiene como objetivo facilitar la toma de decisiones de los oyentes en respuesta al mensaje del evangelio.",Ai,Spanish,Wikipedia,Continue,gemini-pro,0
Filtración,"La variedad de dispositivos de filtración o filtros es tan extensa como las variedades de materiales porosos disponibles como medios filtrantes y las condiciones particulares de cada aplicación: desde sencillos dispositivos, como los filtros de papel o tela, hasta los sistemas altamente sofisticados utilizados en la industria química y farmacéutica. Por ejemplo, los filtros de membrana son ampliamente utilizados para separar partículas y moléculas en disolución, mientras que los filtros de carbón activado se utilizan para eliminar contaminantes orgánicos. Cada tipo de filtro está diseñado para satisfacer requisitos específicos de filtración, como la eficiencia de eliminación, el caudal y la capacidad de carga.",Ai,Spanish,Wikipedia,Continue,gemini-pro,0
Pilastra,"Una pilastra, palabra proveniente del italiano ""pilastro"", es un pilar o columna, de base cuadrangular, adosado a un muro o pared. Su función puede ser estructural, decorando un vano o reforzando una pared. Las pilastras son elementos arquitectónicos muy antiguos, que se han utilizado desde la época clásica. Suelen tener una base, un fuste y un capitel, y pueden ser de diversos materiales, como piedra, ladrillo o madera.",Ai,Spanish,Wikipedia,Continue,gemini-pro,0
Palacio de Aquisgrán,"Ya fuera del complejo palatino había un gineceo, un cuartel, un hospicio, un parque para la práctica de la caza y una casa de fieras en la que se exhibían especies como leones, elefantes y osos. Los restos hallados en Aquisgrán muestran que Carlomagno prestó especial atención a la investigación científica, encargando la creación de una escuela de medicina y una biblioteca que llegó a contar con 700 volúmenes.",Ai,Spanish,Wikipedia,Continue,gemini-pro,0
