title,text,write_by,language,domain,method,LLM_model,label
آمادگی نیروهای مسلح اوکراین برای عملیات تمام عیار علیه جدایی‌طلبان شرق کشور, در پی انتشار اخباری مبنی بر آماده شدن نیروهای مسلح اوکراین برای عملیات تمام عیار علیه تروریست‌های شرق اوکراین، دولت این کشور روز جمعه (24 خرداد ماه) اعلام کرد که این عملیات از امروز آغاز شده است.,Ai,Persian,BBC,Topic,universitytehran/PersianMind-v1.0,0
فیلمبردار مجار که به مهاجران لگد زده بود محکوم شد,10 سپتامبر 2018، دادگاه فدرال آلمان حکم محکومیت یک فیلمبردار مجار را برای حمله به مهاجران در سال 2015 صادر کرد. این فیلمبردار مجار که به مهاجران لگد زده بود، به شش سال زندان و 300 ساعت خدمت عمومی محکوم شد.,Ai,Persian,BBC,Topic,universitytehran/PersianMind-v1.0,0
مناظره‌های انتخاباتی پرده از واقعیت‌ها برمی‌دارند یا بر آنها سرپوش می‌گذارند؟,100 روز پس از انتخابات ریاست جمهوری ایران، هنوز ابهامات و تردیدهای زیادی در مورد نتایج آن وجود دارد. یکی از این ابهام‌ها مربوط به آرای باطله است که به گفته ناظران بین المللی، بیش از 50 درصد آراء را تشکیل داده است. اما چرا چنین چیزی رخ می‌دهد؟ اولین دلیل این است که بسیاری از مردم ایران به دلایل مختلف رای خود را مخفی نگه داشته‌اند. برخی از ترس از دستگیری و آزار و اذیت احتمالی، برخی دیگر برای اینکه به هر قیمتی نمی‌خواهند به حکومت جدید بپیوندند و برخی دیگر نیز به این دلیل که به طور کلی به دولت قبلی اعتماد ندارند. ,Ai,Persian,BBC,Topic,universitytehran/PersianMind-v1.0,0
'کابوس پورن انتقامی همچنان با من است', کابوس پورن انتقالی همچنان با من است.,Ai,Persian,BBC,Topic,universitytehran/PersianMind-v1.0,0
چرا زنها بیشتر از مردها عمر می‌کنند؟, مطالعات نشان داده اند که زنان در مقایسه با مردان طول عمر بیشتری دارند. این یافته ها به طور قابل توجهی بین نژادهای مختلف و همچنین بین افراد با سطوح مختلف درآمد متفاوت است. عوامل متعددی مانند ژنتیک، سبک زندگی، تغذیه و سلامت روانی نقش دارند.,Ai,Persian,BBC,Topic,universitytehran/PersianMind-v1.0,0
'تناقض' در کاخ‌سفید بر سر دیدار ترامپ و کیم جونگ اون, دونالد ترامپ رئیس جمهور ایالات متحده و کیم جونگ اون رهبر کره شمالی روز جمعه 27 ژوئن 2018 در کاخ سفید ملاقات کردند. این اولین دیدار بین دو رهبر بود. آنها در مورد خلع سلاح هسته ای کره شمالی و همچنین روابط تجاری با آمریکا گفتگو کردند. این دیدار با استقبال گرم مردم آمریکا و جهان همراه شد.,Ai,Persian,BBC,Topic,universitytehran/PersianMind-v1.0,0
بيانيه تهران: پيروزی يا تسليم؟,‌به نظر می‌رسد که تهران در حال حاضر از نظر اقتصادی و اجتماعی در وضعیت خوبی قرار دارد. با این حال، نگرانی‌ها و انتقادات زیادی وجود دارد که باید مورد توجه قرار گیرد. یکی از این نگرانی‌ها مربوط به مسائل شهری است. تهران به دلیل رشد جمعیت و افزایش تقاضا برای خدمات شهری، به شدت تحت فشار است. این امر منجر به ایجاد مشکلات متعددی شده است. یکی از این مشکلات، ترافیک است. تهران به دلیل تراکم جمعیت و وسایل نقلیه، به طور مداوم دچار ترافیک سنگین است. این موضوع نه تنها باعث نارضایتی شهروندان می‌شود بلکه به اقتصاد شهر نیز لطمه می‌زند. علاوه بر این، آلودگی هوا,Ai,Persian,BBC,Topic,universitytehran/PersianMind-v1.0,0
کشف شاهکار نقاشی دوره باروک، اثر یاکوب یوردانس، در ساختمان شهرداری بروکسل,1705 میلادی، یاکوب یوردنس، نقاش آلمانی، شاهکاری را کشف کرد که بعدها به عنوان شاهکار نقاشی دوره باروک شناخته شد. این شاهکار در ساختمان شهرداری بروکسل، پایتخت بلژیک، آویزان شده بود.,Ai,Persian,BBC,Topic,universitytehran/PersianMind-v1.0,0
توافق اوپک پلاس؛ تلاش برای نجات نفت از بحران شیوع کرونا,‌به نظر می‌رسد که جهان در حال حاضر با چالش‌های متعددی مواجه است و یکی از این چالش‌ها بحران شیوع کرونا است. این ویروس همه چیز را تحت تاثیر قرار داده است و اقتصاد جهانی را نیز تحت تأثیر قرار داده است. این موضوع به ویژه بر صنعت نفت تاثیر گذاشته است. در حالی که قیمت نفت در سال گذشته کاهش قابل توجهی داشته است، اکنون به دلیل کاهش تقاضای جهانی ناشی از شیوع کرونا، قیمت آن به شدت کاهش یافته است. این کاهش قیمت سبب شده است تا بسیاری از شرکت‌های نفتی دچار زیان شوند. در چنین شرایطی، سازمان کشورهای صادرکننده نفت (اوپک) تصمیم گرفت تا به منظور کمک به صنعت نفت، قیمت نفت را,Ai,Persian,BBC,Topic,universitytehran/PersianMind-v1.0,0
لطفا دیگر ادرار خود را ننوشید, لطیف دیگر ادرار خود را ننوشد.,Ai,Persian,BBC,Topic,universitytehran/PersianMind-v1.0,0
مانور نیروهای ایرانی و عراقی در نزدیکی کردستان عراق,10 دسامبر 2017 - تهران-ایرنا-رییس مرکز دیپلماسی عمومی وزارت امور خارجه ایران گفت: ایران از حضور نیروهای حشمتیه و حشمتیه در منطقه کردستان عراق استقبال می‌کند. به گفته محمدباقر قالیباف، حضور حشمتیه و حشمتیه در منطقه کردستان عراق برای حفظ امنیت و ثبات این منطقه ضروری است.,Ai,Persian,BBC,Topic,universitytehran/PersianMind-v1.0,0
نخست وزير فلسطينی ها خواستار آشتی ملی شد, نخست وزیر دولت موقت عراق امروز (دوشنبه) در سخنانی در بغداد از مردم خواست که به آشتی ملی دست یابند.,Ai,Persian,BBC,Topic,universitytehran/PersianMind-v1.0,0
کنگره آمریکا: قطع کمک آمریکا به عربستان در جنگ یمن رای آورد,​​به نظر می‌رسد که کنگره ایالات متحده با اکثریت آراء به قطع کمک مالی خود به عربستان سعودی در جنگ یمن رای داد.,Ai,Persian,BBC,Topic,universitytehran/PersianMind-v1.0,0
کرونا؛ کاخ‌سفید طرح کمک نقدی مستقیم به آمریکایی‌ها را ارایه کرد, کرونا؛ کاخ سفید طرح کمک نقدی مستقیم به آمریکایی‌ها را ارئه کرد.,Ai,Persian,BBC,Topic,universitytehran/PersianMind-v1.0,0
علی شجاعی صائین مدیر اداره کتاب وزارت ارشاد شد, علی میرابی صائین مدیر اداره کتاب وزارت ارشاد شد.,Ai,Persian,BBC,Topic,universitytehran/PersianMind-v1.0,0
انتخابات پارلمانی روسیه آغاز شد, انتخابات پارلمانی روسیه امروز (دوشنبه) با حضور بیش از 130 میلیون نفر آغاز شد.,Ai,Persian,BBC,Topic,universitytehran/PersianMind-v1.0,0
۵ نکته برای این که بهتر بخوابید,5 نکته برای اینکه بهتر بخوابید,Ai,Persian,BBC,Topic,universitytehran/PersianMind-v1.0,0
بررسی روزنامه های صبح تهران؛ دوشنبه ۲۳ تیر,1397/06/24 15:38:42 - در حالی که روزنامه‌های صبح تهران امروز (دوشنبه) با تیترهایی مانند «تعادل جنسیتی در کابینه دولت» و «آقای روحانی به جای آقای جهان آرا» به موضوع انتصاب معاون اول رئیس جمهور پرداخته‌اند، برخی از روزنامه‌ها نیز به بررسی این موضوع پرداخته‌اند. فارس نوشت: «انتخاب معاون اول رئیس جمهور با توجه به شرایط کشور و همچنین با توجه به اینکه آقای روحانی در دوره دوم ریاست جمهوری خود باید به دنبال انتخاب معاونی باشد که بتواند به عنوان دستیار و مشاور رییس جمهور عمل کند، می‌تواند یکی از مهمترین تصمیم‌,Ai,Persian,BBC,Topic,universitytehran/PersianMind-v1.0,0
آذری جهرمی پس از متهم شدن به فساد، نماینده مجلس را به مناظره اینستاگرامی دعوت کرد - زرآبادی: در مکانی رسمی مناظره کنیم, آژدی جهرمی پس از متهم شدن به فساد، نماینده مجلس را به مناظره اینستاگرامی دعوت کرد.,Ai,Persian,BBC,Topic,universitytehran/PersianMind-v1.0,0
آغاز اجلاس مقابله با داعش بدون حضور ایران, تهران-ایرنا-وزیر امور خارجه کشورمان گفت: ایران در اجلاس مقابله با داعش بدون حضور ایران شرکت نمی‌کند. محمد جواد ظریف روز سه شنبه در حاشیه نشست مجمع عمومی سازمان ملل متحد در مقر این نهاد بین المللی در وین، با خبرنگاران آلمانی و فرانسوی دیدار و گفت و گو کرد. وزیر امور خارجه کشورمان در این دیدار با اشاره به اینکه ایران از سال 2014 تاکنون بیش از 35 هزار نفر را در سوریه کشته و زخمی کرده است، گفت: ایران در مبارزه علیه تروریسم و افراط گرایی نقش اساسی دارد. وی افزود: ایران در مبارزه علیه تروریسم و افراط گرایی نقش اساسی دارد. وزیر امور خارجه کشورمان در این دیدار,Ai,Persian,BBC,Topic,universitytehran/PersianMind-v1.0,0
'مسلمانان محروم ترين اقليت مذهبی در انگلستان هستند', Muslims are the least discriminated against religious group in Britain.,Ai,Persian,BBC,Topic,universitytehran/PersianMind-v1.0,0
زلزله بم در گزارش سالانه صليب سرخ جهانی, عبد الله بم در گزارش سالانه صلیب سرخ جهانی در مورد وضعیت بشردوستانه جهان و اقدامات این نهاد بین المللی برای کمک به مردم آسیب دیده از جنگ و درگیری ها و همچنین تلاش های آنها برای کاهش خشونت و ترویج صلح و آشتی نوشت.,Ai,Persian,BBC,Topic,universitytehran/PersianMind-v1.0,0
'ايران احتمالا پيشنهادهای هسته ای متقابل ارايه می کند', ایران و آمریکا در حال حاضر در حال مذاکره بر سر مسائل هسته‌ای هستند. این مذاکرات که از سال ۲۰۰۶ آغاز شده است، با وجود فراز و نشیب‌های زیادی همچنان ادامه دارد. ایران در حال حاضر در تلاش است تا به توافق جامعی برسد که به آن دسترسی صلح‌آمیز به فناوری هسته‌ای را بدهد. ایالات متحده نیز به دنبال دستیابی به توافقی است که بتواند نگرانی‌هایش را در مورد برنامه هسته‌ای ایران برطرف کند. این دو طرف در حال حاضر در حال مذاکره بر سر مسائل هسته‌ای هستند. این مذاکرات که از سال ۲۰۰۶ آغاز شده است، با وجود فراز و نشیب‌های زیادی,Ai,Persian,BBC,Topic,universitytehran/PersianMind-v1.0,0
راهپيمايی همبستگی ملی در اهواز, راهپيمايی ممكن است از طريق كه كلى كار‌ها و فعالیت‌های فرهنگی و هنری را در سطح شهر انجام دهد. این امر با ایجاد كارها و برنامه‌هایی در جهت ترویج هنر و فرهنگ در میان مردم امکان‌پذیر است. راهپيمايی ممكن است از طريق كلى كار‌ها و فعالیت‌های فرهنگی و هنری را در سطح شهر انجام دهد. این امر با ایجاد كارها و برنامه‌هایی در جهت ترویج هنر و فرهنگ در میان مردم امکان‌پذیر است. راهپيماي,Ai,Persian,BBC,Topic,universitytehran/PersianMind-v1.0,0
بهرام بیضایی: سینما، بهمن مفید را حرام کرد,10 سال پس از انتشار فیلم «بیگانه» در سال 1968، بهمن مفید با همکاری مسعود کیمیایی و علی حاتمی فیلمنامه‌ای برای اقتباس سینمایی از نمایشنامه بیضام بیضایی نوشت. اما این پروژه هرگز به مرحله ساخت نرسید. در سال 2007، بهمن مفید دوباره فیلمنامه‌اش را بازنویسی کرد و آن را به مسعود کیمیایی داد. اما این بار هم هیچ اقدامی برای ساخت فیلم انجام نشد. بهمن مفید چندی پیش در گفتگویی گفته بود که اگر قرار بود فیلم بیضام بیضایی ساخته شود، باید از مسعود کیمیایی می‌خواست تا نقش شخصیت اصلی را بازی کند.,Ai,Persian,BBC,Topic,universitytehran/PersianMind-v1.0,0
جولیان آسانژ،‌ بنیان‌گذار ویکی‌لیکس در لندن بازداشت شد, جیمی آسانژ، بنیانگذار ویکی‌پدیا در لندن بازداشت شد. آسانژ که به دلیل تلاش برای کمک به پناهجویان و مهاجران غیرقانونی دستگیر شده بود، امروز (دوشنبه) با قرار وثیقه آزاد شد.,Ai,Persian,BBC,Topic,universitytehran/PersianMind-v1.0,0
ترکیه یک هلی‌کوپتر سوریه را ساقط کرد,10 کشته و زخمی در حمله موشکی به پایگاه ارتش سوریه در حومه حلب.,Ai,Persian,BBC,Topic,universitytehran/PersianMind-v1.0,0
حمله پاکستان به 'اردوگاه شبه نظاميان طرفدار طالبان', در حالی که دولت پاکستان تلاش می‌کند تا از نفوذ طالبان در این کشور جلوگیری کند، طالبان همچنان به دنبال ایجاد پایگاهی برای خود در پاکستان است. اخیراً گزارش شده است که طالبان در حال مذاکره با برخی از رهبران مذهبی پاکستان است تا آنها را به حمایت از طالبان متقاعد کنند. این پایگاه قرار است در منطقه بلوچستان و در نزدیکی مرز ایران قرار گیرد. این پایگاه قرار است به عنوان پناهگاهی برای طالبان عمل کند و آنها بتوانند از آن استفاده کنند تا به ایران حمله کنند.,Ai,Persian,BBC,Topic,universitytehran/PersianMind-v1.0,0
کمک های سونامی 'نصيب ثروتمندترين ها شده است', سونامی کمک‌های بشردوستانه پس از زلزله 2011 ژاپن، که در آن مردم و سازمان‌ها از سراسر جهان به طور داوطلبانه به کمک رسانی به آسیب دیدگان پرداختند، به شدت مورد توجه قرار گرفت. این کمک‌ها شامل کمک مالی، ارسال اقلام ضروری، و تلاش برای بازسازی مناطق آسیب دیده شد. این کمک‌ها به طور قابل توجهی به بهبود زندگی افراد آسیب دیده و همچنین کمک به بازسازی زیرساخت‌های آسیب دیده کمک کرد. این کمک‌ها همچنین نشان دهنده اهمیت همکاری بین کشورها و جوامع مختلف بود.,Ai,Persian,BBC,Topic,universitytehran/PersianMind-v1.0,0
