title,text,write_by,domain,language,method,LLM_model,label
"Montgomery County, Pennsylvania","2012). Males had a median income of $50,065 versus $35,343 for females. The per capita income for the county was $33,198. About 3.1% of families and 4.7% of the population were below the poverty line, including 4.9% of those under age 18 and 6.4% of those age 65 or over. Montgomery County is known for its thriving economy, diverse communities, and rich history, making it a desirable place to live and work in Pennsylvania.",Ai,Wikipedia,English,Continue,gpt-3.5-turbo-0125,0
Economy of Cambodia,"billion was pledged for the reconstruction of the country in 1993. With a GDP growth rate of over 7% in recent years, Cambodia has made significant progress in improving its economy. The main industries driving this growth include textiles, tourism, agriculture, and construction. Foreign direct investment has also played a key role in boosting the economy, particularly in sectors such as manufacturing and real estate. However, challenges such as corruption, limited access to credit, and income inequality still remain barriers to sustainable economic development in Cambodia.",Ai,Wikipedia,English,Continue,gpt-3.5-turbo-0125,0
Antiques Roadshow,"programme. The show features antiques and collectibles from various time periods and regions, with experts providing insight into the history and value of each item. Viewers are often captivated by the stories behind these treasured possessions, making ""Antiques Roadshow UK"" a beloved program for both enthusiasts and casual viewers alike. The show's success has led to numerous spin-offs in different countries, showcasing the enduring popularity of antiques and the allure of discovering hidden gems in everyday households. It continues to be a source of fascination and education for audiences around the world.",Ai,Wikipedia,English,Continue,gpt-3.5-turbo-0125,0
Superman Returns," an old man watching Superman fly overhead. The film's visual effects were praised for their realism, with particular attention given to Superman's flying sequences. Critics noted Brandon Routh's performance as Superman paying homage to Christopher Reeve's iconic portrayal. Kevin Spacey brought a darker edge to his role as Lex Luthor, providing a formidable adversary for Superman. Despite mixed reviews, ""Superman Returns"" was appreciated by fans for its nostalgic feel and respect for the original material. The film's box office success led to discussions of a potential sequel, which unfortunately never materialized.",Ai,Wikipedia,English,Continue,gpt-3.5-turbo-0125,0
PlayStation Portable," also features a 4.3-inch display with a resolution of 480x272 pixels, delivering vibrant graphics for gaming and multimedia purposes. The PSP was first released in 2004, with a sleek and portable design that made it a popular handheld gaming device. Its library of games includes classics like 'God of War' and 'Final Fantasy,' as well as a variety of multimedia capabilities such as video playback and photo viewing. The PSP's Wi-Fi connectivity allowed for online gaming and downloading of additional content, making it a versatile and groundbreaking device in the gaming industry.",Ai,Wikipedia,English,Continue,gpt-3.5-turbo-0125,0
Prudential plc,"insurance. This innovative company focused on promoting healthy living through various rewards and benefits for policyholders who engage in a healthy lifestyle. In 2010, Prudential plc expanded its presence in Asia with the acquisition of a majority stake in the Indonesian company, PT Asuransi Jiwa Mega Indonesia. This move solidified Prudential's position as a leading insurance provider in the region, offering a wide range of products and services to meet the diverse needs of its customers.",Ai,Wikipedia,English,Continue,gpt-3.5-turbo-0125,0
Milton Caniff," award in 1946. Caniff's most famous work includes the comic strips ""Terry and the Pirates"" and ""Steve Canyon"", which were known for their intricate plots and detailed artwork. He was praised for his ability to create realistic and dynamic characters, earning him a reputation as one of the greatest cartoonists of the 20th century. Caniff's impact on the comic industry continues to be felt today, with many artists citing him as a major influence on their work.",Ai,Wikipedia,English,Continue,gpt-3.5-turbo-0125,0
Pacific Solution,"to deter asylum seekers from attempting to reach Australia by boat. Implemented in 2001 and revived in 2012, the Pacific Solution was controversial and criticized for its human rights implications. Despite the policy's intentions, it was eventually discontinued in 2008 but resurrected again in 2012 due to an increase in boat arrivals. The offshore processing centers were set up in Papua New Guinea and Nauru, where asylum seekers were held indefinitely, leading to significant mental health issues and allegations of abuse.",Ai,Wikipedia,English,Continue,gpt-3.5-turbo-0125,0
Second Triumvirate," naval battles by Sextus Pompey. Meanwhile, Antony faced opposition from the Senate for reneging on promises made during the formation of the Second Triumvirate. Tensions escalated when Antony divorced his Roman wife to marry Cleopatra of Egypt. The alliance eventually fell apart, leading to the famous Battle of Actium in 31 BC, where Octavian decisively defeated Antony and Cleopatra, effectively ending the Second Triumvirate and establishing Octavian as the sole ruler of Rome.",Ai,Wikipedia,English,Continue,gpt-3.5-turbo-0125,0
Wiltshire Wildlife Trust,"In 1994, the trust acquired its first nature reserve, Langford Lakes, which boasts a diverse range of habitats including lakes, wet grassland, and woodland. Since then, Wiltshire Wildlife Trust has continued to expand its network of reserves, now totaling over 40 across the county. The trust is dedicated to protecting and enhancing wildlife and wild places in Wiltshire, engaging with local communities through conservation projects, education programs, and events. Wiltshire Wildlife Trust is a member of a network of 46 Wildlife Trusts across the UK, working together to achieve a shared vision for",Ai,Wikipedia,English,Continue,gpt-3.5-turbo-0125,0
