title,text,write_by,language,domain,method,LLM_model,label
Esteban I (papa),"La postura rigorista respecto a los antiguos apóstatas, defendida también por los novacianos, unida a su defensa de la validez del bautismo administrado por clérigos que habían apostatado, supuso su enfrentamiento con la Iglesia de África, encabezada por el obispo de Cartago San Cipriano, y con la Iglesias de Alejandría y Cesarea que sostenían tanto la readmisión de los lapsi como la necesidad de un nuevo bautismo para los bautizados por estos.",Human,Spanish,Wikipedia,,,1
Saint-Ex,"Saint-Ex es una película biográfica, estrenada el 17 de noviembre de 1996, acerca del escritor, aviador y aventurero francés Antoine de Saint-Exupéry y su esposa escritora artista y escultora Consuelo Suncin, filmada y distribuida en el Reino Unido y protagonizada por Bruno Ganz, Eleanor Bron y Miranda Richardson. Con un guion de Frank Cottrell Boyce y dirección de Anand Tucker, la película combina elementos de biografía, documental y recreación dramática.",Human,Spanish,Wikipedia,,,1
The Crazies (película de 1973),"Lee Hessel, un productor dueño de Cambist Films y con quien Romero anteriormente trabajó en su anterior película ""There's Always Vanilla"", leyó el libreto. Aunque expresó interés en él se ofreció a financiar la siguiente película de Romero solo si el director reescribía el guion de McCollough para enfocarse en lo que Hessel consideraba el ingrediente más interesante de la historia: los militares tomando el pueblo. Esa trama solo ocurría en las primeras 10 a 20 páginas pero Romero aceptó y reescribió el libreto para obtener un presupuesto de aproximadamente 270.000 dólares.",Human,Spanish,Wikipedia,,,1
El inglés (obra de teatro),"La obra está integrada por una sucesión de textos dramatizados por Pepe Soriano y temas ejecutados por el Cuarteto Zupay, a la manera de una obra lírica.El espíritu de la obra está resumido en los dos temas iniciales, ""Milonga para mis muertes"", cantado por Soriano y ""Triunfo del pueblo"", cantado por los Zupay, que en una parte de su letra dicen:",Human,Spanish,Wikipedia,,,1
Duramadre,"El extremo superior continúa sin límites netos con la duramadre craneal. Por su superficie externa, se adhiere al foramen magno y al atlas. El extremo inferior constituye el fondo de saco dural, que se detiene a nivel de S2-S3. Contiene a la cola de caballo y al filum terminale. Este último en la parte más inferior del saco dural, perfora a la duramadre, que se aplica contra él envainándolo. Desciende hasta la primera vértebra coccígea. La duramadre se adhiere a la cara anterior del conducto sacro.",Human,Spanish,Wikipedia,,,1
Renault Magnum,"Freno motor, freno de escape, ralentizadores, frenos de servicio... el Renault Magnum dispone de un sistema de frenado centralizado que gestiona el conjunto de los frenos y ofrece una seguridad excepcional con una deceleración de 7 m/s2, cuando las normas exigen 5 m/s2.Oferta completa de ralentizadores hidráulicos acoplados al sistema de frenado para mayor confort y seguridad (corte automático al acelerar, corta al activarse el sistema ABS y conexión automática por el EBS que detecta las condiciones de adherencia). Asociado a la nueva caja de cambios Optidriver+, el freno motor Optibrake ofrece unas prestaciones excepcionales con 2 potencias de ralentización:",Human,Spanish,Wikipedia,,,1
Llamado al altar,"El llamado al altar es una práctica de algunas Iglesias Evangélicas que consiste en una invitación realizada por un predicador para que aquellos que deseen hacer un compromiso espiritual con Jesucristo lo hagan públicamente, junto al altar situado en la parte frontal de un templo evangélico. En el Antiguo testamento el altar era el lugar donde se realizaban los sacrificios a Dios, por lo que quienes realizan esta práctica entienden el ""llamado al altar"" como el acto mediante el cual los nuevos creyentes se ofrecen así mismos a Dios, de acuerdo a su interpretación de Romanos 12:1 que dice:",Human,Spanish,Wikipedia,,,1
Filtración,"La variedad de dispositivos de filtración o filtros es tan extensa como las variedades de materiales porosos disponibles como medios filtrantes y las condiciones particulares de cada aplicación: desde sencillos dispositivos, como los filtros domésticos de café o los embudos de filtración para separaciones de laboratorio, hasta grandes sistemas complejos de elevada automatización como los empleados en las industrias petroquímicas y de refino para la recuperación de catalizadores de alto valor, o los sistemas de tratamiento de agua potable destinada al suministro urbano.",Human,Spanish,Wikipedia,,,1
Pilastra,"Una pilastra, palabra proveniente del italiano ""pilastro"", es un pilar o columna, de base cuadrangular, adosado a un muro o pared. Su función puede ser estructural, sosteniendo techo, tejado, entablamento, moldura o arquitrabe, o meramente decorativa. La pilastra (palabra derivada de ""pilar"") puede estar compuesta de los mismos elementos arquitectónicos que las columnas o pilares, como son base, fuste y capitel, según los diferentes órdenes arquitectónicos. Cuando sobresalen del muro y son alargadas y conectadas con arquerías ciegas reciben el nombre de bandas lombardas.",Human,Spanish,Wikipedia,,,1
Palacio de Aquisgrán,"Ya fuera del complejo palatino había un gineceo, un cuartel, un hospicio, un parque para la práctica de la caza y una casa de fieras en la que vivía el elefante Abul-Abbas, un regalo ofrecido por el califa de Bagdad Harún al-Rashid. Ermoldo el Negro describe la casa de fieras en un pasaje de su ""Poema sobre Luis el Piadoso"" (escrito en la primera mitad del siglo IX):",Human,Spanish,Wikipedia,,,1
Novellana,"“Por la ejemplar labor de recuperación y defensa del patrimonio histórico-artístico concretado en la restauración del hospital de peregrinos, de la iglesia y de su retablo mayor en Soto de Luiña. A la que se une la dimensión cívica y popular que representan los trabajos de mejora y embellecimiento de Novellana que tiene su expresión en numerosas obras entre las que destacan la realización de importantes instalaciones deportivas y sobre todo la reconstrucción de su Casa de la Cultura”. (antigua escuela).",Human,Spanish,Wikipedia,,,1
Demetrio de Tesalónica,"Demetrio de Tesalónica (en griego antiguo: Ἅγιος Δημήτριος τῆς Θεσσαλονίκης) es un mártir cristiano que tuvo su martirio en Sirmio (la actual Sremska Mitrovica, en Serbia) a principios de siglo IV, hacia el año 306. Al igual que san Artemio de Antioquía, san Jorge y otros santos de oriente recibe el título de ""megalomártir"", que quiere decir ""gran mártir"", debido a su puesto militar encumbrado.",Human,Spanish,Wikipedia,,,1
Contaminación,"El petróleo es una mezcla homogénea de compuestos orgánicos, principalmente hidrocarburos insolubles en agua. Muchos de estos compuestos son altamente tóxicos y causan cáncer (carcinógenos). El petróleo es ""muy letal"" para los peces, los mata rápidamente a una concentración de 4000 partes por millón (ppm) (0,4 %). ""Alcanza solo un cuarto de gasolina para hacer 250 000 galones de agua de mar tóxicos para la vida salvaje"". Es equivalente la concentración de 1 ppm de petróleo o destilados de este para causar enfermedades congénitas en aves.",Human,Spanish,Wikipedia,,,1
Estación de Santa María de la Alameda,La estación fue inaugurada el 1 de julio de 1863 con la puesta en marcha del tramo Ávila – El Escorial de la línea radial Madrid-Hendaya. Su explotación inicial quedó a cargo de la Compañía de los Caminos de Hierro del Norte de España quien mantuvo su titularidad hasta que en 1941 fue nacionalizada e integrada en la recién creada RENFE. Desde el 31 de diciembre de 2004 Renfe Operadora explota la línea mientras que Adif es la titular de las instalaciones ferroviarias.,Human,Spanish,Wikipedia,,,1
Cine Regina,"Con la construcción del Mall Plaza del Trébol en 1995, junto con sus numerosas salas de cine, pertenecientes a la multinacional Cinemark, el Cine Regina, al igual que otros cines clásicos de la ciudad, tales como el Cine Romano, debieron cambiar su rubro o cerrar. A partir del año 2000, el Cine Regina intentó cambiar su rubro hacia el de películas de cine arte, sin embargo, la idea no prosperó, y luego de intentar venderse sin éxito, cerró finalmente el 2003.",Human,Spanish,Wikipedia,,,1
Centro Oncológico Estatal ISSEMYM,"Actualmente, el Centro Oncológico Estatal ISSEMyM cuenta con un tomógrafo simulador confinado, dos aceleradores lineales en uso, los cuales otorgan tratamientos de radioterapia 3D conformal, con rayos X de alta energía (fotones) 6X, 10X, y 18X, además de electrones de 6, 9, 12, y 15 MeV, para tratamientos superficiales. Un área de Braquiterapia ginecológica intracavitaria de alta tasa de dosis 3D, que emplea Iridio 192 como fuente de radiación gamma. Un área de planeación, cuatro consultorios y una sala de espera.",Human,Spanish,Wikipedia,,,1
Myrothamnaceae,"Un único género, ""Myrothamnus"" Welw., 1.859 (= ""Myosurandra"" Baill., 1.870, especie tipo ""Myosurandra moschata"" Baill., 1.870), con dos especies: El fruto se interpreta a veces como un plurifolículo de dehiscencia septicida o como un esquizocarpo, dado el corto espacio en que se hallan soldados los carpelos. No hay unanimidad en el tratamiento de las estructuras que aquí se consideran tépalos, y que en algunas referencias se consideran simples brácteas.",Human,Spanish,Wikipedia,,,1
Tratado de Carrión,"En sus cláusulas se preveía que los pueblos y tierras de la orilla izquierda del río Ebro, pasasen a poder de Reino de Castilla. Ramón Berenguer IV se quedaría con las plazas y comarcas que García Ramírez había tomado en los tres años de guerra fronteriza entre Navarra y Aragón (1137-1140). Del resto se harían tres partes: una, en la que estaba incluida la ciudad de Estella, sería para Alfonso VII; y las otras dos, en la que estaría Pamplona, pasarían a manos de Aragón.",Human,Spanish,Wikipedia,,,1
Weilburg,"Ubicado en el antiguo edificio de la cancillería se encuentra el ""Bergbau- und Stadtmuseum"" de Weilburg (Museo de la ciudad y de la minería) que tiene a su disposición un área de exhibición de 1200 m². En él se exhibe la historia de Weilburg y una amplia colección sobre la minería en el pueblo y las áreas vecinas. Este museo, que data de 1972, es el museo de minería más antiguo de Hesse.",Human,Spanish,Wikipedia,,,1
