title,text,write_by,language,domain,method,LLM_model,label
Radiación solar,"La radiación solar es la energía emitida por el Sol en forma de ondas electromagnéticas. Incluye radiación visible, luz ultravioleta (UV) y rayos infrarrojos. La radiación solar es esencial para la vida en la Tierra, ya que proporciona la energía necesaria para la fotosíntesis, el proceso realizado por las plantas para convertir la luz solar en energía química. Sin embargo, la exposición excesiva a la radiación UV puede dañar la piel y aumentar el riesgo de cáncer de piel.",Ai,Spanish,Wikipedia,Topic,gemini-pro,0
Felipe Kast,"Felipe Kast Sommerhoff (Santiago, 21 de agosto de 1975) es un ingeniero comercial, empresario y político chileno, militante de Evópoli. Ejerció como diputado por el distrito 22 (Las Condes, Lo Barnechea y Vitacura) entre 2014 y 2018. En el segundo gobierno de Sebastián Piñera se desempeñó como ministro de Desarrollo Social y Familia entre 2018 y 2021. Es hijo del senador y empresario Carlos Kast y hermano de los políticos Pablo, Miguel y Christian.",Ai,Spanish,Wikipedia,Topic,gemini-pro,0
Ptolomeo de Epiro,"Tolomeo de Epiro (370-272 a. C.), hijastro de Alejandro Magno, fue rey de Epiro, una región al noroeste de Grecia, desde el año 302 al 272 a. C. Ptolomeo desempeñó un papel importante en las Guerras Diadóquicas, la lucha por el poder entre los generales de Alejandro tras su muerte. Se alió con otros diádocos, como Demetrio Poliorcetes y Lisímaco, para derrotar a Casandro y Antígono Gonatas. En el año 288 a. C., Ptolomeo se convirtió en rey único de Epiro y reinó hasta su muerte en el año 272 a. C.",Ai,Spanish,Wikipedia,Topic,gemini-pro,0
Jurij Bartolomej Vega,"Jurij Bartolomej Vega (1754-1802), fue un matemático, físico y artillero esloveno austríaco. Es conocido por su trabajo en la tabla de logaritmos y por su desarrollo de las funciones trigonométricas. Vega fue profesor de matemáticas en la Universidad de Viena y también trabajó como artillero en el ejército austríaco. Sus escritos sobre artillería fueron muy influyentes en el desarrollo de la artillería moderna.",Ai,Spanish,Wikipedia,Topic,gemini-pro,0
Eukaryota,"Eukaryota (del griego eu, 'verdadero', y karyon, 'nuez' o 'núcleo') es un dominio de organismos cuyos miembros tienen células caracterizadas por la presencia de un núcleo unido a la membrana y otros orgánulos unidos a la membrana. Eukaryota incluye organismos unicelulares y multicelulares, como plantas, animales, hongos y protistas.",Ai,Spanish,Wikipedia,Topic,gemini-pro,0
Subasta inversa,"La subasta inversa, también conocida como subasta holandesa, es un tipo de subasta en la que el vendedor comienza con un precio alto y lo va bajando gradualmente hasta que un comprador lo acepta. A diferencia de una subasta tradicional, en la que los compradores pujan progresivamente, en una subasta inversa los vendedores compiten entre sí para ofrecer el precio más bajo. Este tipo de subasta suele utilizarse en la contratación pública y en la adquisición de materias primas.",Ai,Spanish,Wikipedia,Topic,gemini-pro,0
Rock de México,"El rock mexicano es un género musical que surgió en México a finales de la década de 1950. Se caracteriza por la fusión de elementos del rock and roll, el blues y la música tradicional mexicana. El rock mexicano ha evolucionado a lo largo de los años, dando lugar a diversos subgéneros, como el rock urbano, el rock progresivo y el rock en español. Algunos de los grupos y artistas más destacados del rock mexicano son El Tri, Café Tacvba, Maná y Zoé. El rock mexicano ha tenido un gran impacto en la cultura popular mexicana y ha contribuido a la difusión de la música mexicana en todo el mundo.",Ai,Spanish,Wikipedia,Topic,gemini-pro,0
Yuri Zhirkov,"Yuri Valentínvich Zhirkov (en ruso: Юрий Валентинович Жирков; nacido el 20 de agosto de 1983) es un exfutbolista ruso que jugó como lateral izquierdo o centrocampista izquierdo. Zhirkov fue conocido por su ritmo, resistencia y habilidades técnicas. Jugó en varios clubes importantes, entre ellos el Chelsea y el Zenit de San Petersburgo. También fue miembro de la selección rusa, con la que participó en tres Copas del Mundo de la FIFA y una Eurocopa de la UEFA.",Ai,Spanish,Wikipedia,Topic,gemini-pro,0
Programa Viking,"El Programa Viking fue una misión espacial no tripulada de la NASA para explorar Marte. Se lanzaron dos sondas espaciales, Viking 1 y Viking 2, en 1975. Cada sonda constaba de un orbitador y un módulo de aterrizaje. Los orbitadores cartografiaron la superficie de Marte y buscaron posibles lugares de aterrizaje. Los módulos de aterrizaje aterrizaron en la superficie de Marte y realizaron experimentos para determinar si había vida. El Programa Viking fue un éxito y proporcionó información valiosa sobre Marte.",Ai,Spanish,Wikipedia,Topic,gemini-pro,0
Imai,"Imai es un apellido japonés común. Puede referirse a: Imai (Miyagi), un pueblo en la prefectura de Miyagi Imai (Okayama), un pueblo en la prefectura de Okayama Imai (Tochigi), un pueblo en la prefectura de Tochigi También es el nombre de varias personas notables, entre ellas: Imai Hisashi, futbolista japonés Imai Miki, cantante japonesa Imai Masataka, actor japonés",Ai,Spanish,Wikipedia,Topic,gemini-pro,0
